,columbia_card_task_cold.avg_cards_chosen,columbia_card_task_cold.gain_sensitivity,columbia_card_task_cold.information_use,columbia_card_task_cold.log_ll,columbia_card_task_cold.loss_sensitivity,columbia_card_task_cold.num_trials,columbia_card_task_cold.probability_sensitivity,columbia_card_task_hot.avg_cards_chosen,columbia_card_task_hot.gain_sensitivity,columbia_card_task_hot.information_use,columbia_card_task_hot.log_ll,columbia_card_task_hot.loss_sensitivity,columbia_card_task_hot.num_trials,columbia_card_task_hot.probability_sensitivity,go_nogo.acc,go_nogo.bias,go_nogo.commission_errors,go_nogo.dprime,go_nogo.go_acc,go_nogo.go_rt,go_nogo.nogo_acc,go_nogo.omission_errors,hierarchical_rule.acc,hierarchical_rule.avg_rt,hierarchical_rule.avg_rt_error,hierarchical_rule.missed_percent,hierarchical_rule.post_error_slowing,hierarchical_rule.score,hierarchical_rule.std_rt,hierarchical_rule.std_rt_error,information_sampling_task.Decreasing_Win_P_correct,information_sampling_task.Decreasing_Win_acc,information_sampling_task.Decreasing_Win_boxes_opened,information_sampling_task.Decreasing_Win_motivation,information_sampling_task.Decreasing_Win_total_points,information_sampling_task.Fixed_Win_P_correct,information_sampling_task.Fixed_Win_acc,information_sampling_task.Fixed_Win_boxes_opened,information_sampling_task.Fixed_Win_motivation,information_sampling_task.Fixed_Win_total_points,keep_track.score,kirby.exp_discount_rate,kirby.exp_discount_rate_large,kirby.exp_discount_rate_medium,kirby.exp_discount_rate_small,kirby.exp_match_pct,kirby.exp_match_pct_large,kirby.exp_match_pct_medium,kirby.exp_match_pct_small,kirby.hyp_discount_rate,kirby.hyp_discount_rate_large,kirby.hyp_discount_rate_medium,kirby.hyp_discount_rate_small,kirby.hyp_match_pct,kirby.hyp_match_pct_large,kirby.hyp_match_pct_medium,kirby.hyp_match_pct_small,kirby.percent_patient,kirby.percent_patient_large,kirby.percent_patient_medium,kirby.percent_patient_small,kirby.warnings,ravens.score,simple_reaction_time.avg_rt,simple_reaction_time.missed_percent,simple_reaction_time.std_rt,two_stage_decision.avg_rt,two_stage_decision.missed_percent,two_stage_decision.model_based,two_stage_decision.model_free,two_stage_decision.perseverance
s028,29.6666666667,-8.881784197e-16,1,184.3067061781,0.0,6,-1.0,24.6666666667,0.0071428571,1,-7.6978300528,0.0005714286,6,-6.3571428571,1.0,0.0,0.0,5.0626261818,1.0,388.0,1.0,0.0,0.2666666667,934.5,851.5,0.0,-129.6,24,250.646063754,332.0388299814,,,,,,,,,,,0.8333333333,0.9923220343,0.9984583584000001,0.9591600679000001,0.9844600706000001,0.8571428571,1.0,1.0,1.0,0.0039584634,0.0006903211000000001,0.0149233694,0.0158414076,0.8571428571,1,1.0,1.0,0.5714285714,1.0,0.0,0.6666666667000001,"['Incorrect number of total trials for worker_id:s028', 'Incorrect number of trials in small condition for worker_id:s028', 'Incorrect number of trials in medium condition for worker_id:s028', 'Incorrect number of trials in large condition for worker_id:s028']",0,316.5,0.0,72.5434288919,681.83,0.0,0.4970043491,-0.3303146657,0.43848482850000003
s032,5.5,0.25,0,-6.0808405506,0.0006666667,6,-2.0,9.25,2.66241e-05,0,-9.6146354257,0.0006656017000000001,4,4.4166666667,1.0,0.0,0.0,5.0626261818,1.0,329.5,1.0,0.0,0.5222222222,686.0,763.0,0.0,53.0,47,144.2712748265,157.4658499777,,,,,,,,,,,0.75,0.9923220343,0.9984583584000001,0.9591600679000001,0.9844600706000001,0.8571428571,1.0,1.0,1.0,0.0039584634,0.0006903211000000001,0.0149233694,0.0158414076,0.8571428571,1,1.0,1.0,0.5714285714,1.0,0.0,0.6666666667000001,"['Incorrect number of total trials for worker_id:s032', 'Incorrect number of trials in small condition for worker_id:s032', 'Incorrect number of trials in medium condition for worker_id:s032', 'Incorrect number of trials in large condition for worker_id:s032']",0,262.5,0.0,22.9062192229,356.27,0.0,0.22382241100000003,-0.4976297633,-0.1874223702
s034,11.6666666667,0.125,0,-10.7155387245,0.005,6,3.75,16.1428571429,0.0025,0,-13.9957763344,-0.0051,7,-3.15,1.0,0.0,0.0,5.0626261818,1.0,334.0,1.0,0.0,0.4666666667,582.5,612.0,0.0,57.0833333333,42,132.0251731355,166.3967304281,,,,,,,,,,,0.8333333333,0.8834645520000001,0.9368117971000001,0.9591600679000001,0.8834645520000001,1.0,1.0,1.0,1.0,0.158113883,0.0399243052,0.0149233694,0.1988176822,1.0,1,1.0,1.0,0.1428571429,0.5,0.0,0.0,"['Incorrect number of total trials for worker_id:s034', 'Incorrect number of trials in small condition for worker_id:s034', 'Incorrect number of trials in medium condition for worker_id:s034', 'Incorrect number of trials in large condition for worker_id:s034']",2,267.0,0.0,39.1747098871,478.78,0.0,0.03134374,-0.278446982,-0.3611566725
s042,19.0,0.05,0,-12.9126424056,-0.012,6,-1.5,21.5,-0.25,0,109.1558373994,-0.012,4,-4.0,0.9886363636000001,-0.7318712835000001,0.1428571429,3.5988836148,1.0,319.0,0.8571428571,0.0,0.48888888890000004,725.5,779.5,0.0,-95.6666666667,44,122.7729194338,154.6881060228,,,,,,,,,,,0.8333333333,0.9975981938,0.9984583584000001,0.9591600679000001,0.9984583584000001,1.0,1.0,1.0,1.0,0.0015704178,0.0006903211000000001,0.0149233694,0.0006903211000000001,1.0,1,1.0,1.0,0.7142857143,1.0,0.0,1.0,"['Incorrect number of total trials for worker_id:s042', 'Incorrect number of trials in small condition for worker_id:s042', 'Incorrect number of trials in medium condition for worker_id:s042', 'Incorrect number of trials in large condition for worker_id:s042']",1,297.0,0.0,40.2607521664,826.04,0.0,1.2019468031,-0.7163352550000001,0.7885302027000001
s049,24.5,-0.05,1,-15.5197559467,-0.004,6,13.75,21.0,-0.025,1,-3.1383527915,-0.004,6,-5.0,0.9772727273,-0.8448459287000001,0.2,3.3729343245,1.0,343.5,0.8,0.0,0.3595505618,617.0,570.0,0.011111111100000001,-154.4,32,239.7906344858,253.8064097083,,,,,,,,,,,0.5,0.9538658187000001,0.9368117971000001,0.9591600679000001,0.9538658187000001,0.8571428571,0.5,1.0,1.0,0.1265219767,0.25,0.0149233694,0.06403124240000001,0.8571428571,1,1.0,1.0,0.1428571429,0.0,0.0,0.33333333330000003,"['Incorrect number of total trials for worker_id:s049', 'Incorrect number of trials in small condition for worker_id:s049', 'Incorrect number of trials in medium condition for worker_id:s049', 'Incorrect number of trials in large condition for worker_id:s049']",2,317.0,0.0,42.4372015332,669.64,0.0,-0.385856466,0.3813302,-0.12495560080000001
s060,4.0,0.05,0,-8.675832863,-0.005,6,-2.6666666667000003,3.7142857143,-2.7061686229999997e-16,1,-10.5706951812,-0.0032,7,-3.3,1.0,0.0,0.0,5.0626261818,1.0,336.5,1.0,0.0,0.4777777778,913.0,892.0,0.0,-91.8181818182,43,251.0200430553,266.2528549964,,,,,,,,,,,0.8333333333,0.9538658187000001,0.9368117971000001,0.9591600679000001,0.9538658187000001,1.0,1.0,1.0,1.0,0.06403124240000001,0.0399243052,0.0149233694,0.06403124240000001,1.0,1,1.0,1.0,0.2857142857,0.5,0.0,0.33333333330000003,"['Incorrect number of total trials for worker_id:s060', 'Incorrect number of trials in small condition for worker_id:s060', 'Incorrect number of trials in medium condition for worker_id:s060', 'Incorrect number of trials in large condition for worker_id:s060']",3,317.0,0.0,30.5986848796,662.97,0.0,0.6591877424,-0.1742562184,0.8448256974
s062,8.5,0.1357142857,0,-7.6978300528,-0.0054285714,6,-3.7857142857,4.8,0.05,0,-3.0710978849,-0.002,5,-0.25,0.9886363636000001,-0.5526181093,0.0769230769,3.9573899632,1.0,332.0,0.9230769231,0.0,0.6222222222,1146.5,1692.0,0.0,131.5294117647,56,430.5650711791,404.3525413774,,,,,,,,,,,0.625,0.9975981938,0.9984583584000001,0.9591600679000001,0.9984583584000001,1.0,1.0,1.0,1.0,0.0015704178,0.0006903211000000001,0.0149233694,0.0006903211000000001,1.0,1,1.0,1.0,0.7142857143,1.0,0.0,1.0,"['Incorrect number of total trials for worker_id:s062', 'Incorrect number of trials in small condition for worker_id:s062', 'Incorrect number of trials in medium condition for worker_id:s062', 'Incorrect number of trials in large condition for worker_id:s062']",3,366.0,0.0,80.5617722404,948.79,0.0,-0.9002856875,1.5994445233999999,-0.6567610495
s063,13.0,0.125,0,-10.144477539,-0.0053333333000000005,6,-4.0,8.1666666667,6.38978e-05,1,-7.7810403177000005,0.0015974441,6,-2.6,0.9886363636000001,-0.6904818553000001,0.125,3.6816624713,1.0,356.0,0.875,0.0,0.5340909091,804.0,801.0,0.022222222200000002,70.2,47,159.2234828278,161.1470166513,,,,,,,,,,,0.75,0.8834645520000001,0.9368117971000001,0.9591600679000001,0.8834645520000001,1.0,1.0,1.0,1.0,0.158113883,0.0399243052,0.0149233694,0.1988176822,1.0,1,1.0,1.0,0.1428571429,0.5,0.0,0.0,"['Incorrect number of total trials for worker_id:s063', 'Incorrect number of trials in small condition for worker_id:s063', 'Incorrect number of trials in medium condition for worker_id:s063', 'Incorrect number of trials in large condition for worker_id:s063']",1,298.5,0.0,39.7807647751,668.4361702128,0.06,-0.960196837,0.2698555098,-0.6016371537
s065,8.5,0.2214285714,0,-17.7211104256,0.0022857143,6,-2.3571428571,7.0,0.05,1,-7.2972358749,-9.56699997e-16,6,-8.0,0.9431818182,-1.4249762274,0.625,2.2126737269,1.0,279.0,0.375,0.0,0.3414634146,827.5,773.0,0.0888888889,-1150.5,28,742.7714395261,687.1877195605,,,,,,,,,,,0.625,0.9844600706000001,0.9368117971000001,0.9591600679000001,0.9844600706000001,1.0,1.0,1.0,1.0,0.0158414076,0.0399243052,0.0149233694,0.0158414076,1.0,1,1.0,1.0,0.4285714286,0.5,0.0,0.6666666667000001,"['Incorrect number of total trials for worker_id:s065', 'Incorrect number of trials in small condition for worker_id:s065', 'Incorrect number of trials in medium condition for worker_id:s065', 'Incorrect number of trials in large condition for worker_id:s065']",0,241.0,0.0,62.0037166784,,,,,
s066,9.0,0.0428571429,0,-9.481951376,-0.0011428571,6,-1.1428571429,9.8,-0.075,2,-1.3382299335,0.07399881600000001,5,-4.25,1.0,0.0,0.0,5.0626261818,1.0,320.0,1.0,0.0,0.42528735630000003,710.0,715.0,0.033333333300000004,-277.8571428571,37,538.0435166655,570.6981292188,,,,,,,,,,,0.6666666667000001,0.9844600706000001,0.9368117971000001,0.9591600679000001,0.9844600706000001,0.8571428571,0.5,1.0,1.0,0.0158414076,0.25,0.0149233694,0.0158414076,0.8571428571,1,1.0,1.0,0.2857142857,0.0,0.0,0.6666666667000001,"['Incorrect number of total trials for worker_id:s066', 'Incorrect number of trials in small condition for worker_id:s066', 'Incorrect number of trials in medium condition for worker_id:s066', 'Incorrect number of trials in large condition for worker_id:s066']",0,411.0,0.0,116.621565827,574.88,0.0,-0.25026123640000003,-0.0667944726,-0.5569122399
