,angling_risk_task_always_sunny.keep_adjusted_clicks,angling_risk_task_always_sunny.keep_coef_of_variation,angling_risk_task_always_sunny.keep_loss_percent,angling_risk_task_always_sunny.keep_score,angling_risk_task_always_sunny.release_adjusted_clicks,angling_risk_task_always_sunny.release_coef_of_variation,angling_risk_task_always_sunny.release_loss_percent,angling_risk_task_always_sunny.release_score,columbia_card_task_cold.avg_cards_chosen,columbia_card_task_cold.gain_sensitivity,columbia_card_task_cold.information_use,columbia_card_task_cold.log_ll,columbia_card_task_cold.loss_sensitivity,columbia_card_task_cold.num_trials,columbia_card_task_cold.probability_sensitivity,columbia_card_task_hot.avg_cards_chosen,columbia_card_task_hot.gain_sensitivity,columbia_card_task_hot.information_use,columbia_card_task_hot.log_ll,columbia_card_task_hot.loss_sensitivity,columbia_card_task_hot.num_trials,columbia_card_task_hot.probability_sensitivity,go_nogo.acc,go_nogo.bias,go_nogo.commission_errors,go_nogo.dprime,go_nogo.go_acc,go_nogo.go_rt,go_nogo.nogo_acc,go_nogo.omission_errors,hierarchical_rule.acc,hierarchical_rule.avg_rt,hierarchical_rule.avg_rt_error,hierarchical_rule.missed_percent,hierarchical_rule.post_error_slowing,hierarchical_rule.score,hierarchical_rule.std_rt,hierarchical_rule.std_rt_error,information_sampling_task.Decreasing_Win_P_correct,information_sampling_task.Decreasing_Win_acc,information_sampling_task.Decreasing_Win_boxes_opened,information_sampling_task.Decreasing_Win_motivation,information_sampling_task.Decreasing_Win_total_points,information_sampling_task.Fixed_Win_P_correct,information_sampling_task.Fixed_Win_acc,information_sampling_task.Fixed_Win_boxes_opened,information_sampling_task.Fixed_Win_motivation,information_sampling_task.Fixed_Win_total_points,keep_track.score,kirby.exp_discount_rate,kirby.exp_discount_rate_large,kirby.exp_discount_rate_medium,kirby.exp_discount_rate_small,kirby.exp_match_pct,kirby.exp_match_pct_large,kirby.exp_match_pct_medium,kirby.exp_match_pct_small,kirby.hyp_discount_rate,kirby.hyp_discount_rate_large,kirby.hyp_discount_rate_medium,kirby.hyp_discount_rate_small,kirby.hyp_match_pct,kirby.hyp_match_pct_large,kirby.hyp_match_pct_medium,kirby.hyp_match_pct_small,kirby.percent_patient,kirby.percent_patient_large,kirby.percent_patient_medium,kirby.percent_patient_small,kirby.warnings,ravens.score,simple_reaction_time.avg_rt,simple_reaction_time.missed_percent,simple_reaction_time.std_rt,two_stage_decision.avg_rt,two_stage_decision.missed_percent,two_stage_decision.model_based,two_stage_decision.model_free,two_stage_decision.perseverance
s005,,,,,,,,,9.75,0.4204545455,1,-38.3443970835,-0.0211818182,12,-3.3636363636,10.9230769231,0.5045454545,3,-36.566706598,-0.0140909091,13,-4.0454545455,0.9714285714,-0.3928541312,0.1,3.3488113934,0.9806451613,337.0,0.9,0.0193548387,0.44067796610000004,816.0,805.0,0.0166666667,-12.5454545455,78,260.1917736483,232.3669807204,,,,,,,,,,,0.4666666667,0.9741544815000001,0.9368117971000001,0.9844600706000001,0.9538658187000001,0.9285714286000001,1.0,1.0,1.0,0.025234410000000002,0.0399243052,0.0158414076,0.06403124240000001,0.9285714286000001,1.0,1.0,1.0,0.3571428571,0.25,0.4,0.4,"['Incorrect number of total trials for worker_id:s005', 'Incorrect number of trials in small condition for worker_id:s005', 'Incorrect number of trials in medium condition for worker_id:s005', 'Incorrect number of trials in large condition for worker_id:s005']",7,301.0,0.0,61.6814922524,869.625,0.0,0.8765579767,-0.0101574662,1.3235641041
s007,16.6666666667,9.0737717259,0.25,37.0,14.8,7.6865683717,0.1666666667,340.0,5.1666666667,0.07647058820000001,0,-23.4599864378,-0.0027058824000000003,12,0.2941176471,14.0,0.2293103448,0,-22.9293840053,-0.0003448276,10,0.7327586207,0.9771428571,-1.0211094138,0.23529411760000002,3.4852633955,1.0,361.0,0.7647058824,0.0,0.2784090909,879.0,803.0,0.022222222200000002,-127.4285714286,49,340.8489264267,340.309597899,,,,,,,,,,,0.8461538462,0.9741544815000001,0.9368117971000001,0.9538658187000001,0.9844600706000001,0.9285714286000001,1.0,1.0,1.0,0.025234410000000002,0.0399243052,0.06403124240000001,0.0158414076,0.9285714286000001,1.0,1.0,1.0,0.3571428571,0.25,0.2,0.6000000000000001,"['Incorrect number of total trials for worker_id:s007', 'Incorrect number of trials in small condition for worker_id:s007', 'Incorrect number of trials in medium condition for worker_id:s007', 'Incorrect number of trials in large condition for worker_id:s007']",5,495.0,0.0,138.1471444276,,,,,
s009,25.0,10.0,0.2,70.0,19.1304347826,3.8999341233,0.2333333333,420.0,14.25,-0.0324884793,2,-37.7311363409,-0.0315576037,12,-5.8617511521,6.25,0.1357142857,1,-16.6858694562,-0.005,8,-3.5357142857,1.0,0.0,0.0,5.5274822231,1.0,290.0,1.0,0.0,0.6444444444,833.0,915.0,0.0,1.8,116,234.7939094398,231.2073813151,0.6171309948,0.8,3.6,0.0017705286000000002,1500.0,0.9739583333,1.0,18.6666666667,0.0028512385,300.0,0.6470588235,0.9982480701,0.9967484003,0.9997499962,0.9844600706000001,0.8571428571,1.0,1.0,1.0,0.0007055965,0.0024746160000000002,0.0002011893,0.0158414076,0.8571428571,1.0,1.0,1.0,0.6428571429000001,0.5,0.8,0.6000000000000001,"['Incorrect number of total trials for worker_id:s009', 'Incorrect number of trials in small condition for worker_id:s009', 'Incorrect number of trials in medium condition for worker_id:s009', 'Incorrect number of trials in large condition for worker_id:s009']",2,253.0,0.0,56.8887898835,500.235,0.0,-0.9904735048000001,0.0690284664,-0.2535796764
s011,,,,,,,,,5.0833333333,2.2204460489999999e-16,0,-25.3450285652,-0.004,12,-1.5,7.0,0.1203571429,2,-16.1227809595,-0.0026142857000000003,11,-3.5321428571,0.9885714286,-0.7558107956,0.1052631579,4.0158606318,1.0,318.0,0.8947368421,0.0,0.5977653631000001,876.0,952.0,0.0055555556,14.8709677419,107,286.5608691409,259.082559983,,,,,,,,,,,0.4210526316,0.866,0.9368117971000001,0.8834645520000001,0.866,0.9285714286000001,0.75,1.0,1.0,0.25,0.25,0.1988176822,0.25,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,"['Incorrect number of total trials for worker_id:s011', 'Incorrect number of trials in small condition for worker_id:s011', 'Incorrect number of trials in medium condition for worker_id:s011', 'Incorrect number of trials in large condition for worker_id:s011']",6,299.0,0.0,49.6822987674,538.91,0.0,-0.3498905618,-0.6250771327,-0.5070474406000001
s012,48.5,3.8729833462,0.2,147.0,24.5652173913,7.5487873015,0.2333333333,527.0,8.75,0.0851219512,1,-29.540991955,-0.0058243902000000005,12,-2.9365853659,4.6363636364000005,0.121875,0,-26.6526620532,-0.009625,11,-2.40625,0.9542857143000001,-1.1825554954,0.5454545455,2.1367404022,0.987804878,307.5,0.4545454545,0.012195122000000001,0.4388888889,791.0,782.0,0.0,74.1578947368,79,207.4039103267,219.8403466605,,,,,,,,,,,0.6470588235,0.9538658187000001,0.9368117971000001,0.9538658187000001,0.9538658187000001,0.9285714286000001,0.75,1.0,1.0,0.06403124240000001,0.25,0.06403124240000001,0.06403124240000001,0.9285714286000001,1.0,1.0,1.0,0.2142857143,0.0,0.2,0.4,"['Incorrect number of total trials for worker_id:s012', 'Incorrect number of trials in small condition for worker_id:s012', 'Incorrect number of trials in medium condition for worker_id:s012', 'Incorrect number of trials in large condition for worker_id:s012']",6,339.0,0.0,63.7454312088,815.4,0.0,0.0666235587,0.1735212722,0.5294865995
s014,,,,,,,,,6.4166666667,-0.0083333333,1,-30.1407604124,-0.0096666667,12,-3.9166666667000003,4.5833333333,0.0955882353,2,-25.8201921528,-0.0083235294,12,-3.7352941176,0.9314285714,-0.2348570963,0.1428571429,2.6048552403,0.9378881988000001,332.0,0.8571428571,0.062111801200000004,0.3463687151,770.0,769.0,0.0055555556,137.2307692308,62,429.7788493326,456.1046621826,0.5981903076,1.0,9.0,0.0011829653000000001,160.0,0.5847579479,0.4,4.4,0.0008385868,-200.0,0.4210526316,0.866,0.9368117971000001,0.8834645520000001,0.866,1.0,1.0,1.0,1.0,0.1988176822,0.0399243052,0.1988176822,0.25,0.9285714286000001,1.0,1.0,1.0,0.0714285714,0.25,0.0,0.0,"['Incorrect number of total trials for worker_id:s014', 'Incorrect number of trials in small condition for worker_id:s014', 'Incorrect number of trials in medium condition for worker_id:s014', 'Incorrect number of trials in large condition for worker_id:s014']",0,303.0,0.0,75.30327392,471.82,0.0,-0.9374603478,0.0308599949,-0.7344148933
s015,40.0,2.8284271247,0.6666666667000001,42.0,24.5,8.5686085587,0.33333333330000003,460.0,9.0833333333,0.1617647059,1,-29.2867950093,-0.00047058820000000004,12,-6.0882352941,7.8888888889,0.1104166667,1,-20.5577315469,0.0015833333,9,-5.2708333333,0.9885714286,-0.7558107956,0.1052631579,4.0158606318,1.0,316.0,0.8947368421,0.0,0.5944444444,1229.0,1300.0,0.0,225.04,107,353.6137903831,334.475449179,0.6677876472000001,0.7000000000000001,5.0,0.0014048019,1100.0,0.9993489583,1.0,21.0,0.0016838119,300.0,0.5882352941,0.92720086,0.9368117971000001,0.9538658187000001,0.9012813101,0.9285714286000001,1.0,1.0,1.0,0.1006192246,0.0399243052,0.06403124240000001,0.158113883,0.9285714286000001,1.0,1.0,1.0,0.2142857143,0.25,0.2,0.2,"['Incorrect number of total trials for worker_id:s015', 'Incorrect number of trials in small condition for worker_id:s015', 'Incorrect number of trials in medium condition for worker_id:s015', 'Incorrect number of trials in large condition for worker_id:s015']",4,268.0,0.0,56.9449330969,714.9540816327,0.02,0.0572690567,0.8319426359000001,-0.24848452740000002
s017,30.4,4.5055521304,0.0,122.0,21.3333333333,5.8309518948,0.1,550.0,11.1666666667,0.14375000000000002,2,-24.5095160268,-0.0133125,12,-2.1145833333,9.8888888889,0.1172413793,1,-16.649303024399998,-0.0024827586,9,-2.3275862069,0.9942857143,-0.5594437423,0.05,4.4085947385,1.0,334.0,0.9500000000000001,0.0,0.5195530726,788.0,891.5,0.0055555556,13.4090909091,93,187.1088296119,216.6507187298,0.767848587,0.9,9.7,0.0024491452000000003,1350.0,1.0,1.0,25.0,0.0022696736,200.0,0.7142857143,0.9997499962,0.9995999600000001,0.9997499962,0.9984583584000001,0.8571428571,0.75,1.0,0.8,0.0002011893,0.00029472250000000004,0.0002011893,0.0006903211000000001,0.8571428571,0.75,1.0,0.8,0.9285714286000001,1.0,0.8,1.0,"['Incorrect number of total trials for worker_id:s017', 'Incorrect number of trials in small condition for worker_id:s017', 'Incorrect number of trials in medium condition for worker_id:s017', 'Incorrect number of trials in large condition for worker_id:s017']",5,305.0,0.0,40.4476171082,780.63,0.0,0.729883229,0.10890193370000001,0.5407201281
s026,,,,,,,,,13.5,-1.665334537e-16,1,372.3480022907,-1.7347234760000003e-18,12,-3.0,10.0,-2.0816681709999999e-16,0,321.8672613477,-7.025630078000001e-17,11,0.0,0.9942857143,-0.5594437423,0.05,4.4085947385,1.0,315.0,0.9500000000000001,0.0,0.5111111111000001,1271.0,1282.0,0.0,9.25,92,185.291390912,240.3925665995,,,,,,,,,,,0.5384615385,0.999299955,0.9995999600000001,0.9975981938,0.9984583584000001,1.0,1.0,1.0,1.0,0.0006324555,0.00029472250000000004,0.0015704178,0.0006903211000000001,1.0,1.0,1.0,1.0,0.7142857143,0.75,0.6000000000000001,0.8,"['Incorrect number of total trials for worker_id:s026', 'Incorrect number of trials in small condition for worker_id:s026', 'Incorrect number of trials in medium condition for worker_id:s026', 'Incorrect number of trials in large condition for worker_id:s026']",4,272.0,0.0,35.8490428585,499.145,0.0,0.8577124253,0.14153411600000002,0.7849420825000001
s027,,,,,,,,,16.1666666667,0.7455696203000001,2,-23.727649906,-0.0236455696,12,-1.3797468354,11.0833333333,0.1783333333,0,-26.8838537496,-0.0034000000000000002,12,-0.35000000000000003,0.9942857143,-0.6148102836,0.0625,4.2978616559,1.0,334.0,0.9375,0.0,0.38764044940000003,860.0,884.0,0.011111111100000001,-145.1333333333,69,390.7155102814,370.1109842639,,,,,,,,,,,0.5294117647000001,0.92720086,0.9368117971000001,0.9538658187000001,0.9012813101,0.8571428571,0.75,1.0,1.0,0.1362805823,0.25,0.06403124240000001,0.158113883,0.8571428571,1.0,1.0,1.0,0.1428571429,0.0,0.2,0.2,"['Incorrect number of total trials for worker_id:s027', 'Incorrect number of trials in small condition for worker_id:s027', 'Incorrect number of trials in medium condition for worker_id:s027', 'Incorrect number of trials in large condition for worker_id:s027']",3,298.0,0.0,51.8146627826,400.815,0.0,-0.2005953561,-0.24465246770000001,-0.00785377
s028,,,,,,,,,29.8333333333,-8.326672685e-17,1,357.2956984998,-7.112366252000001e-17,12,-1.0,27.5,-0.1125,1,-31.0636567952,0.001,12,-4.0,1.0,0.0,0.0,5.5274822231,1.0,400.0,1.0,0.0,0.3163841808,831.0,808.0,0.0166666667,35.0,56,319.4261001258,401.8032919221,0.8533126831000001,0.7000000000000001,11.6,0.0022778014,620.0,1.0,1.0,22.5,0.0026992638,200.0,0.6923076923,0.9844600706000001,0.9967484003,0.9844600706000001,0.9844600706000001,0.9285714286000001,1.0,1.0,1.0,0.0158414076,0.0024746160000000002,0.0158414076,0.0158414076,0.9285714286000001,1.0,1.0,1.0,0.5,0.5,0.4,0.6000000000000001,"['Incorrect number of total trials for worker_id:s028', 'Incorrect number of trials in small condition for worker_id:s028', 'Incorrect number of trials in medium condition for worker_id:s028', 'Incorrect number of trials in large condition for worker_id:s028']",0,354.0,0.0,104.5286511867,628.65,0.0,0.7755583453,-0.3271235756,0.9582793494
s032,38.6666666667,4.5898438608,0.1428571429,195.0,28.5333333333,7.3179492313,0.5,398.0,6.5,0.0772300469,2,-28.2587976988,-0.0095211268,12,-4.0610328638,8.1818181818,-0.0709677419,0,-23.9004275649,0.0078709677,11,-0.9677419355,1.0,0.0,0.0,5.5274822231,1.0,321.0,1.0,0.0,0.5833333333,715.0,792.0,0.0,49.2608695652,105,128.6254486638,220.1137650161,,,,,,,,,,,0.6470588235,0.9967484003,0.9967484003,0.9975981938,0.9844600706000001,0.9285714286000001,1.0,1.0,1.0,0.0024746160000000002,0.0024746160000000002,0.0015704178,0.0158414076,0.9285714286000001,1.0,1.0,1.0,0.5714285714,0.5,0.6000000000000001,0.6000000000000001,"['Incorrect number of total trials for worker_id:s032', 'Incorrect number of trials in small condition for worker_id:s032', 'Incorrect number of trials in medium condition for worker_id:s032', 'Incorrect number of trials in large condition for worker_id:s032']",1,267.0,0.0,45.4588736023,325.495,0.0,0.030054187700000002,-0.1829950625,-0.1017804351
s034,37.5,17.6776695297,0.0,25.0,21.875,2.3831382306,0.2,500.0,13.3333333333,-0.07373271890000001,0,-25.4783294053,0.0013364055,12,0.9101382488,17.0769230769,0.1536290323,1,-31.6415148529,-0.0076612903,13,-4.497983871,1.0,0.0,0.0,5.5274822231,1.0,332.0,1.0,0.0,0.48888888890000004,630.5,645.0,0.0,3.8095238095,88,153.0898646594,168.2750206089,,,,,,,,,,,0.7692307692,0.9012813101,0.9368117971000001,0.8834645520000001,0.9012813101,1.0,1.0,1.0,1.0,0.158113883,0.0399243052,0.1988176822,0.158113883,1.0,1.0,1.0,1.0,0.1428571429,0.25,0.0,0.2,"['Incorrect number of total trials for worker_id:s034', 'Incorrect number of trials in small condition for worker_id:s034', 'Incorrect number of trials in medium condition for worker_id:s034', 'Incorrect number of trials in large condition for worker_id:s034']",6,253.0,0.0,34.9746987056,496.17,0.0,-0.2266119174,-0.304013474,-0.2909219972
