,columbia_card_task_cold.avg_cards_chosen,columbia_card_task_cold.gain_sensitivity,columbia_card_task_cold.information_use,columbia_card_task_cold.log_ll,columbia_card_task_cold.loss_sensitivity,columbia_card_task_cold.num_trials,columbia_card_task_cold.probability_sensitivity,columbia_card_task_hot.avg_cards_chosen,columbia_card_task_hot.gain_sensitivity,columbia_card_task_hot.information_use,columbia_card_task_hot.log_ll,columbia_card_task_hot.loss_sensitivity,columbia_card_task_hot.num_trials,columbia_card_task_hot.probability_sensitivity,go_nogo.acc,go_nogo.bias,go_nogo.commission_errors,go_nogo.dprime,go_nogo.go_acc,go_nogo.go_rt,go_nogo.nogo_acc,go_nogo.omission_errors,hierarchical_rule.acc,hierarchical_rule.avg_rt,hierarchical_rule.avg_rt_error,hierarchical_rule.missed_percent,hierarchical_rule.post_error_slowing,hierarchical_rule.score,hierarchical_rule.std_rt,hierarchical_rule.std_rt_error,information_sampling_task.Decreasing_Win_P_correct,information_sampling_task.Decreasing_Win_acc,information_sampling_task.Decreasing_Win_boxes_opened,information_sampling_task.Decreasing_Win_total_points,information_sampling_task.Fixed_Win_P_correct,information_sampling_task.Fixed_Win_acc,information_sampling_task.Fixed_Win_boxes_opened,information_sampling_task.Fixed_Win_motivation,information_sampling_task.Fixed_Win_total_points,keep_track.score,kirby.exp_discount_rate,kirby.exp_discount_rate_large,kirby.exp_discount_rate_medium,kirby.exp_discount_rate_small,kirby.exp_match_pct,kirby.exp_match_pct_large,kirby.exp_match_pct_medium,kirby.exp_match_pct_small,kirby.hyp_discount_rate,kirby.hyp_discount_rate_large,kirby.hyp_discount_rate_medium,kirby.hyp_discount_rate_small,kirby.hyp_match_pct,kirby.hyp_match_pct_large,kirby.hyp_match_pct_medium,kirby.hyp_match_pct_small,kirby.percent_patient,kirby.percent_patient_large,kirby.percent_patient_medium,kirby.percent_patient_small,kirby.warnings,ravens.score,simple_reaction_time.avg_rt,simple_reaction_time.missed_percent,simple_reaction_time.std_rt,two_stage_decision.avg_rt,two_stage_decision.missed_percent,two_stage_decision.model_based,two_stage_decision.model_free,two_stage_decision.perseverance
s372,13.3333333333,-0.2857142857,0,-15.2750159857,-0.0071428571,6,-1.0714285714,14.8,0.018750000000000003,0,-8.8586169174,0.00125,5,-4.3125,1.0,0.0,0.0,5.0626261818,1.0,446.5,1.0,0.0,0.6555555556,911.0,940.0,0.0,-2.3333333333,59,299.6650984764,313.2329855328,,,,,,,,,,0.875,0.9538658187000001,0.9368117971000001,0.9591600679000001,0.9538658187000001,1.0,1.0,1.0,1.0,0.06403124240000001,0.0399243052,0.0149233694,0.06403124240000001,1.0,1,1.0,1.0,0.2857142857,0.5,0.0,0.33333333330000003,"['Incorrect number of total trials for worker_id:s372', 'Incorrect number of trials in small condition for worker_id:s372', 'Incorrect number of trials in medium condition for worker_id:s372', 'Incorrect number of trials in large condition for worker_id:s372']",2,391.5,0.0,128.6017372662,714.18,0.0,0.2839472448,0.2882510337,0.32346481190000004
s373,8.8333333333,0.021428571400000002,0,-13.1654234365,-0.0028571429,6,-5.0714285714,7.6666666667,0.0142857143,0,-1.4595054277,-0.0022857143,6,0.9285714286000001,0.8977272727000001,-0.1105238219,0.1428571429,2.3561886916,0.9012345679,429.0,0.8571428571,0.09876543210000001,0.35227272730000003,672.0,653.0,0.022222222200000002,91.75,31,260.9982737965,228.3815784239,,,,,,,,,,0.5,0.932596148,0.9368117971000001,0.9591600679000001,0.932596148,0.7142857143,0.5,1.0,0.6666666667000001,0.25,0.25,0.0149233694,0.056120869000000004,0.8571428571,1,1.0,0.6666666667000001,0.1428571429,0.0,0.0,0.33333333330000003,"['Incorrect number of total trials for worker_id:s373', 'Incorrect number of trials in small condition for worker_id:s373', 'Incorrect number of trials in medium condition for worker_id:s373', 'Incorrect number of trials in large condition for worker_id:s373']",3,373.0,0.07894736840000001,253.7287806254,778.0918367347,0.02,0.0765113553,0.1023541701,0.0493678372
s374,11.8333333333,0.1642857143,2,-5.9717376181,-0.0165714286,6,-4.4285714286,15.6666666667,0.35000000000000003,0,77.9279728076,-0.018000000000000002,3,7.5,0.9886363636000001,-0.6904818553000001,0.125,3.6816624713,1.0,366.0,0.875,0.0,0.5168539326,859.5,743.0,0.011111111100000001,-126.5555555556,46,599.3249523845,404.7979480402,,,,,,,,,,0.75,0.9997499962,0.9984583584000001,0.9997499962,0.9984583584000001,1.0,1.0,1.0,1.0,0.0002011893,0.0006903211000000001,0.0002011893,0.0006903211000000001,1.0,1,1.0,1.0,0.8571428571,1.0,0.5,1.0,"['Incorrect number of total trials for worker_id:s374', 'Incorrect number of trials in small condition for worker_id:s374', 'Incorrect number of trials in medium condition for worker_id:s374', 'Incorrect number of trials in large condition for worker_id:s374']",3,433.0,0.0,71.3422022023,673.53,0.0,0.0211414412,0.0251256805,0.0774267243
s376,8.5,0.43571428570000004,1,-1.4595054277,-0.0034285714,6,0.9285714286000001,8.2,-0.05,3,147.4643834901,-0.016,5,-4.0,0.9772727273,-0.9826821345000001,0.2857142857,3.0972619128,1.0,303.0,0.7142857143,0.0,0.4666666667,1375.5,1440.0,0.0,34.0833333333,42,316.5909815416,336.4827136392,,,,,,,,,,0.6666666667000001,0.9923220343,0.9984583584000001,0.9591600679000001,0.9844600706000001,0.8571428571,1.0,1.0,1.0,0.0039584634,0.0006903211000000001,0.0149233694,0.0158414076,0.8571428571,1,1.0,1.0,0.5714285714,1.0,0.0,0.6666666667000001,"['Incorrect number of total trials for worker_id:s376', 'Incorrect number of trials in small condition for worker_id:s376', 'Incorrect number of trials in medium condition for worker_id:s376', 'Incorrect number of trials in large condition for worker_id:s376']",1,295.5,0.0,43.157696544,552.44,0.0,-0.46029550490000004,0.2459563194,-0.3819497734
s380,15.3333333333,0.0142857143,1,0.6199361139,0.0011428571,6,-9.1428571429,21.8333333333,0.1357142857,0,-11.1161329023,0.0028571429,6,-3.6428571429,0.9886363636000001,-0.7318712835000001,0.1428571429,3.5988836148,1.0,302.0,0.8571428571,0.0,0.4090909091,824.0,738.5,0.022222222200000002,-55.0,36,205.5961116148,337.4196396145,,,,,,,,,,1.0,0.9975981938,0.9984583584000001,0.9591600679000001,0.9984583584000001,1.0,1.0,1.0,1.0,0.0015704178,0.0006903211000000001,0.0149233694,0.0006903211000000001,1.0,1,1.0,1.0,0.7142857143,1.0,0.0,1.0,"['Incorrect number of total trials for worker_id:s380', 'Incorrect number of trials in small condition for worker_id:s380', 'Incorrect number of trials in medium condition for worker_id:s380', 'Incorrect number of trials in large condition for worker_id:s380']",3,263.0,0.0,54.7353713967,537.14,0.0,-0.3601636895,-0.1025939475,-0.33562495600000003
s383,10.5,-0.075,0,-8.7537593222,-0.004,6,-3.0,6.3333333333,-0.05,3,173.2610732948,-0.004,6,-2.5,1.0,0.0,0.0,5.0626261818,1.0,389.0,1.0,0.0,0.3222222222,922.0,820.0,0.0,97.6,29,243.9826520119,280.5341635878,,,,,,,,,,0.75,0.9975981938,0.9984583584000001,0.9591600679000001,0.9984583584000001,1.0,1.0,1.0,1.0,0.0015704178,0.0006903211000000001,0.0149233694,0.0006903211000000001,1.0,1,1.0,1.0,0.7142857143,1.0,0.0,1.0,"['Incorrect number of total trials for worker_id:s383', 'Incorrect number of trials in small condition for worker_id:s383', 'Incorrect number of trials in medium condition for worker_id:s383', 'Incorrect number of trials in large condition for worker_id:s383']",3,435.0,0.0,244.6422955538,792.41,0.0,0.4480095228,0.209846798,0.552164431
s384,13.0,0.033333333300000004,2,-5.6802463727,-0.011,6,-4.75,13.2857142857,-0.025,0,-18.4589774321,-0.011,7,-4.75,0.9886363636000001,-0.6553363710000001,0.1111111111,3.7519534397000003,1.0,356.0,0.8888888889000001,0.0,0.2533333333,796.0,788.5,0.1666666667,,19,509.4405657763,367.080266533,,,,,,,,,,0.5,0.9923220343,0.9984583584000001,0.9591600679000001,0.9844600706000001,0.8571428571,1.0,1.0,1.0,0.0039584634,0.0006903211000000001,0.0149233694,0.0158414076,0.8571428571,1,1.0,1.0,0.5714285714,1.0,0.0,0.6666666667000001,"['Incorrect number of total trials for worker_id:s384', 'Incorrect number of trials in small condition for worker_id:s384', 'Incorrect number of trials in medium condition for worker_id:s384', 'Incorrect number of trials in large condition for worker_id:s384']",0,427.5,0.0,70.5175946286,669.3775510204,0.02,0.0877236279,0.1595150979,0.1258124214
s388,14.0,0.35000000000000003,0,-7.6505849819,0.004,6,-1.25,13.1666666667,0.025,1,-7.4791097404,0.0055000000000000005,6,-3.625,1.0,0.0,0.0,5.0626261818,1.0,341.0,1.0,0.0,0.33766233770000004,1389.5,1358.0,0.1444444444,287.2,26,695.7289083013,752.1858645986,,,,,,,,,,0.5,0.9538658187000001,0.9368117971000001,0.9591600679000001,0.9538658187000001,1.0,1.0,1.0,1.0,0.06403124240000001,0.0399243052,0.0149233694,0.06403124240000001,1.0,1,1.0,1.0,0.2857142857,0.5,0.0,0.33333333330000003,"['Incorrect number of total trials for worker_id:s388', 'Incorrect number of trials in small condition for worker_id:s388', 'Incorrect number of trials in medium condition for worker_id:s388', 'Incorrect number of trials in large condition for worker_id:s388']",3,377.5,0.0,58.3241115789,734.4489795918,0.02,-0.054373875700000004,-0.2774066215,-0.2631472353
s391,5.1666666667,0.15,0,-12.1255496122,-0.01,6,-2.5,7.5,0.05,3,174.143033627,-0.004,6,-3.0,0.9886363636000001,-0.7318712835000001,0.1428571429,3.5988836148,1.0,388.0,0.8571428571,0.0,0.5111111111000001,802.5,835.5,0.0,-24.75,46,174.2534497056,197.4882379349,,,,,,,,,,0.5,0.9844600706000001,0.9368117971000001,0.9591600679000001,0.9844600706000001,1.0,1.0,1.0,1.0,0.0158414076,0.0399243052,0.0149233694,0.0158414076,1.0,1,1.0,1.0,0.4285714286,0.5,0.0,0.6666666667000001,"['Incorrect number of total trials for worker_id:s391', 'Incorrect number of trials in small condition for worker_id:s391', 'Incorrect number of trials in medium condition for worker_id:s391', 'Incorrect number of trials in large condition for worker_id:s391']",0,330.5,0.0,76.7552732862,798.8,0.0,0.4014059358,-0.0691379449,0.4026292952
s396,11.3333333333,0.025,0,-13.6278754759,-0.014,6,-5.75,8.0,-0.025,0,-16.1193864442,-0.009000000000000001,7,-2.5,0.9886363636000001,-0.6248807627,0.1,3.8128646564,1.0,308.5,0.9,0.0,0.48888888890000004,879.0,864.0,0.0,-162.25,44,335.3308950822,299.0074377438,,,,,,,,,,0.75,0.9975981938,0.9984583584000001,0.9591600679000001,0.9984583584000001,1.0,1.0,1.0,1.0,0.0015704178,0.0006903211000000001,0.0149233694,0.0006903211000000001,1.0,1,1.0,1.0,0.7142857143,1.0,0.0,1.0,"['Incorrect number of total trials for worker_id:s396', 'Incorrect number of trials in small condition for worker_id:s396', 'Incorrect number of trials in medium condition for worker_id:s396', 'Incorrect number of trials in large condition for worker_id:s396']",3,257.5,0.0,22.5577179722,637.8673469388,0.02,0.4665388507,-0.5099629026,0.08841319090000001
