,columbia_card_task_cold.avg_cards_chosen,columbia_card_task_cold.gain_sensitivity,columbia_card_task_cold.information_use,columbia_card_task_cold.log_ll,columbia_card_task_cold.loss_sensitivity,columbia_card_task_cold.num_trials,columbia_card_task_cold.probability_sensitivity,columbia_card_task_hot.avg_cards_chosen,columbia_card_task_hot.gain_sensitivity,columbia_card_task_hot.information_use,columbia_card_task_hot.log_ll,columbia_card_task_hot.loss_sensitivity,columbia_card_task_hot.num_trials,columbia_card_task_hot.probability_sensitivity,go_nogo.acc,go_nogo.bias,go_nogo.commission_errors,go_nogo.dprime,go_nogo.go_acc,go_nogo.go_rt,go_nogo.nogo_acc,go_nogo.omission_errors,hierarchical_rule.acc,hierarchical_rule.avg_rt,hierarchical_rule.avg_rt_error,hierarchical_rule.missed_percent,hierarchical_rule.post_error_slowing,hierarchical_rule.score,hierarchical_rule.std_rt,hierarchical_rule.std_rt_error,information_sampling_task.Decreasing_Win_P_correct,information_sampling_task.Decreasing_Win_acc,information_sampling_task.Decreasing_Win_boxes_opened,information_sampling_task.Decreasing_Win_total_points,information_sampling_task.Fixed_Win_P_correct,information_sampling_task.Fixed_Win_acc,information_sampling_task.Fixed_Win_boxes_opened,information_sampling_task.Fixed_Win_motivation,information_sampling_task.Fixed_Win_total_points,keep_track.score,kirby.exp_discount_rate,kirby.exp_discount_rate_large,kirby.exp_discount_rate_medium,kirby.exp_discount_rate_small,kirby.exp_match_pct,kirby.exp_match_pct_large,kirby.exp_match_pct_medium,kirby.exp_match_pct_small,kirby.hyp_discount_rate,kirby.hyp_discount_rate_large,kirby.hyp_discount_rate_medium,kirby.hyp_discount_rate_small,kirby.hyp_match_pct,kirby.hyp_match_pct_large,kirby.hyp_match_pct_medium,kirby.hyp_match_pct_small,kirby.percent_patient,kirby.percent_patient_large,kirby.percent_patient_medium,kirby.percent_patient_small,kirby.warnings,ravens.score,simple_reaction_time.avg_rt,simple_reaction_time.missed_percent,simple_reaction_time.std_rt,two_stage_decision.avg_rt,two_stage_decision.missed_percent,two_stage_decision.model_based,two_stage_decision.model_free,two_stage_decision.perseverance
s397,19.1666666667,-2.2204460489999999e-16,1,181.1295661127,2.3960868010000002e-17,6,-2.5,11.5,-0.021428571400000002,1,0.6199361139,0.0034285714,6,-2.7857142857,1.0,0.0,0.0,5.0626261818,1.0,304.0,1.0,0.0,0.4719101124,737.0,618.0,0.011111111100000001,52.875,42,170.8017168556,182.9494453052,,,,,,,,,,0.8333333333,0.9997499962,0.9984583584000001,0.9997499962,0.9984583584000001,0.8571428571,1.0,0.5,1.0,0.0002011893,0.0006903211000000001,0.0002011893,0.0006903211000000001,0.8571428571,1,0.5,1.0,1.0,1.0,1.0,1.0,"['Incorrect number of total trials for worker_id:s397', 'Incorrect number of trials in small condition for worker_id:s397', 'Incorrect number of trials in medium condition for worker_id:s397', 'Incorrect number of trials in large condition for worker_id:s397']",2,265.5,0.0,90.474582459,526.6,0.0,0.43322297200000004,-0.0486691147,0.4924488953
s402,15.0,-1.110223025e-16,0,187.3544678966,-2.0816681710000002e-17,6,0.0,15.0,-0.08,0,-8.5795679194,-0.0068000000000000005,6,-2.6666666667000003,0.9318181818000001,-1.392330097,0.6000000000000001,2.2779659878,1.0,471.5,0.4,0.0,0.3023255814,557.5,500.0,0.044444444400000005,-48.5714285714,26,192.5185665372,287.5822549982,,,,,,,,,,0.875,0.8834645520000001,0.9368117971000001,0.9591600679000001,0.8834645520000001,1.0,1.0,1.0,1.0,0.158113883,0.0399243052,0.0149233694,0.1988176822,1.0,1,1.0,1.0,0.1428571429,0.5,0.0,0.0,"['Incorrect number of total trials for worker_id:s402', 'Incorrect number of trials in small condition for worker_id:s402', 'Incorrect number of trials in medium condition for worker_id:s402', 'Incorrect number of trials in large condition for worker_id:s402']",2,663.5,0.0,114.7214450629,,,,,
s403,14.8333333333,0.025,0,-12.1628171722,-0.0045000000000000005,6,-4.75,25.8333333333,-0.0285714286,0,-10.1306207014,0.0045714286,6,-0.6428571429000001,1.0,0.0,0.0,5.0626261818,1.0,358.0,1.0,0.0,0.3820224719,555.0,598.0,0.011111111100000001,45.5,34,186.3314280241,203.5157899714,,,,,,,,,,0.33333333330000003,0.9923220343,0.9984583584000001,0.9591600679000001,0.9844600706000001,0.8571428571,1.0,1.0,1.0,0.0039584634,0.0006903211000000001,0.0149233694,0.0158414076,0.8571428571,1,1.0,1.0,0.5714285714,1.0,0.0,0.6666666667000001,"['Incorrect number of total trials for worker_id:s403', 'Incorrect number of trials in small condition for worker_id:s403', 'Incorrect number of trials in medium condition for worker_id:s403', 'Incorrect number of trials in large condition for worker_id:s403']",2,317.5,0.0,67.9533770384,547.6734693878,0.02,0.023691683300000002,-0.1668323357,-0.027325029600000002
s408,7.5,0.05,1,-7.2972358749,-0.004,6,-2.5,6.6666666667,2.116362641e-16,1,183.3654848381,-3.122502257e-17,6,-2.5,0.9772727273,-1.0502928958,0.33333333330000003,2.9620403902,1.0,384.0,0.6666666667000001,0.0,0.5465116279000001,807.0,956.0,0.044444444400000005,-17.375,47,210.9980358625,269.8193527731,,,,,,,,,,0.5,0.9844600706000001,0.9368117971000001,0.9591600679000001,0.9844600706000001,1.0,1.0,1.0,1.0,0.0158414076,0.0399243052,0.0149233694,0.0158414076,1.0,1,1.0,1.0,0.4285714286,0.5,0.0,0.6666666667000001,"['Incorrect number of total trials for worker_id:s408', 'Incorrect number of trials in small condition for worker_id:s408', 'Incorrect number of trials in medium condition for worker_id:s408', 'Incorrect number of trials in large condition for worker_id:s408']",2,343.0,0.0,30.1768259603,938.3,0.0,-0.1313673423,-0.2903925852,-0.1326753658
s409,6.5,0.2,3,178.3946275701,-0.002,6,-1.0,6.5714285714,-0.0071428571,1,-3.5892440849,-0.0022857143,7,-2.7857142857,1.0,0.0,0.0,5.0626261818,1.0,388.0,1.0,0.0,0.48888888890000004,1007.0,983.0,0.0,-204.5,44,252.3345322649,221.3279028494,,,,,,,,,,0.6000000000000001,0.9923220343,0.9984583584000001,0.9591600679000001,0.9844600706000001,0.8571428571,1.0,1.0,1.0,0.0039584634,0.0006903211000000001,0.0149233694,0.0158414076,0.8571428571,1,1.0,1.0,0.5714285714,1.0,0.0,0.6666666667000001,"['Incorrect number of total trials for worker_id:s409', 'Incorrect number of trials in small condition for worker_id:s409', 'Incorrect number of trials in medium condition for worker_id:s409', 'Incorrect number of trials in large condition for worker_id:s409']",3,286.0,0.0,60.1935061218,892.13,0.0,0.4283270487,0.095800117,0.509391853
s420,10.0,-0.17500000000000002,1,-10.0461080705,-0.003,6,-4.75,12.5,-0.1,0,-9.6168055396,-0.012,6,-4.1666666667,0.9886363636000001,-0.6553363710000001,0.1111111111,3.7519534397000003,1.0,388.0,0.8888888889000001,0.0,0.6222222222,721.0,704.5,0.0,114.4285714286,56,238.840856106,247.6449214705,,,,,,,,,,0.7000000000000001,0.9923220343,0.9368117971000001,0.9591600679000001,0.9984583584000001,0.8571428571,1.0,1.0,1.0,0.0039584634,0.0399243052,0.0149233694,0.0006903211000000001,0.8571428571,1,1.0,1.0,0.5714285714,0.5,0.0,1.0,"['Incorrect number of total trials for worker_id:s420', 'Incorrect number of trials in small condition for worker_id:s420', 'Incorrect number of trials in medium condition for worker_id:s420', 'Incorrect number of trials in large condition for worker_id:s420']",0,416.5,0.0,61.0002973199,559.22,0.0,-0.0529462499,-0.1468323417,-0.11062326460000001
s421,8.8333333333,0.125,0,-10.7155387245,-0.006,6,-6.0,10.75,-0.15121951220000002,1,-17.5115458896,0.0026341463,8,-4.3414634146,0.9886363636000001,0.1523565978,0.0,4.7579129861,0.9870129870000001,321.5,1.0,0.012987013,0.4555555556,687.0,713.0,0.0,-15.6,41,194.7104542022,167.066603485,,,,,,,,,,0.6666666667000001,0.9538658187000001,0.9368117971000001,0.9591600679000001,0.9538658187000001,1.0,1.0,1.0,1.0,0.06403124240000001,0.0399243052,0.0149233694,0.06403124240000001,1.0,1,1.0,1.0,0.2857142857,0.5,0.0,0.33333333330000003,"['Incorrect number of total trials for worker_id:s421', 'Incorrect number of trials in small condition for worker_id:s421', 'Incorrect number of trials in medium condition for worker_id:s421', 'Incorrect number of trials in large condition for worker_id:s421']",2,280.5,0.0,57.7620628377,514.77,0.0,-0.3404360718,0.0949911299,-0.26683951840000003
s425,6.5,0.15,1,-1.9219574672,-0.0006666667,6,-5.3333333333,10.2,0.48058452560000003,3,147.3551958314,-0.008776619000000001,5,2.3058452559,1.0,0.0,0.0,5.0626261818,1.0,331.0,1.0,0.0,0.33333333330000003,809.0,854.0,0.0,24.375,30,169.8650038714,214.8859531969,,,,,,,,,,0.8333333333,0.9975981938,0.9984583584000001,0.9591600679000001,0.9984583584000001,1.0,1.0,1.0,1.0,0.0015704178,0.0006903211000000001,0.0149233694,0.0006903211000000001,1.0,1,1.0,1.0,0.7142857143,1.0,0.0,1.0,"['Incorrect number of total trials for worker_id:s425', 'Incorrect number of trials in small condition for worker_id:s425', 'Incorrect number of trials in medium condition for worker_id:s425', 'Incorrect number of trials in large condition for worker_id:s425']",3,291.5,0.0,35.0303262236,581.73,0.0,1.083915017,0.16738760360000002,1.2837900521
s427,10.5,-0.0857142857,0,-10.6636642331,0.0025714286,6,-2.7142857143,10.3333333333,0.0142857143,0,-5.9717376181,0.0028571429,6,-2.5714285714000003,0.9659090909,-1.0502928958,0.33333333330000003,2.9620403902,1.0,332.0,0.6666666667000001,0.0,0.5168539326,879.5,1129.0,0.011111111100000001,-135.6363636364,46,398.4468863676,433.5513818043,,,,,,,,,,0.8333333333,0.9997499962,0.9984583584000001,0.9997499962,0.9984583584000001,1.0,1.0,1.0,1.0,0.0002011893,0.0006903211000000001,0.0002011893,0.0006903211000000001,1.0,1,1.0,1.0,0.8571428571,1.0,0.5,1.0,"['Incorrect number of total trials for worker_id:s427', 'Incorrect number of trials in small condition for worker_id:s427', 'Incorrect number of trials in medium condition for worker_id:s427', 'Incorrect number of trials in large condition for worker_id:s427']",3,301.0,0.0,84.2935204022,669.64,0.0,0.5559281316,-0.0668145659,0.4645178587
s430,11.8333333333,0.3071428571,0,-10.7326327878,0.0022857143,6,-2.1428571429,9.6666666667,0.033333333300000004,1,-9.4262653224,0.0008,6,-4.2,0.9545454545000001,-0.6427371172,0.25,2.6344537347,0.975,344.5,0.75,0.025,0.2413793103,714.0,636.0,0.033333333300000004,,21,245.5544552155,258.8579381974,,,,,,,,,,0.33333333330000003,0.8834645520000001,0.9368117971000001,0.9591600679000001,0.8834645520000001,0.8571428571,0.5,1.0,1.0,0.25,0.25,0.0149233694,0.1988176822,1.0,1,1.0,1.0,0.0,0.0,0.0,0.0,"['Incorrect number of total trials for worker_id:s430', 'Incorrect number of trials in small condition for worker_id:s430', 'Incorrect number of trials in medium condition for worker_id:s430', 'Incorrect number of trials in large condition for worker_id:s430']",0,282.5,0.0,38.9226171785,,,,,
s441,15.0,-9.436895709e-16,0,159.722896831,0.0,6,0.0,11.3333333333,0.31275720160000003,2,-10.3860941264,-0.0016,6,2.7275720165,0.9886363636000001,-0.9284116704,0.25,3.2058028411,1.0,316.5,0.75,0.0,0.5888888889,765.0,728.0,0.0,64.0,53,185.2363805813,217.8393386822,,,,,,,,,,0.8333333333,0.9975981938,0.9984583584000001,0.9591600679000001,0.9984583584000001,1.0,1.0,1.0,1.0,0.0015704178,0.0006903211000000001,0.0149233694,0.0006903211000000001,1.0,1,1.0,1.0,0.7142857143,1.0,0.0,1.0,"['Incorrect number of total trials for worker_id:s441', 'Incorrect number of trials in small condition for worker_id:s441', 'Incorrect number of trials in medium condition for worker_id:s441', 'Incorrect number of trials in large condition for worker_id:s441']",0,271.0,0.0,36.1581794378,773.0306122449,0.02,-0.3273496047,-0.1483433557,-0.2727806072
s442,8.5,-0.15,0,-14.3033606224,0.0086666667,6,0.0,16.4285714286,0.28750000000000003,0,-21.2301593904,-0.0165,7,0.2916666667,0.9545454545000001,-1.6864671622,0.8,1.6896918573000002,1.0,328.0,0.2,0.0,0.3181818182,527.5,438.0,0.022222222200000002,113.0,28,450.0706631762,484.3218871737,,,,,,,,,,0.33333333330000003,0.8834645520000001,0.9368117971000001,0.9591600679000001,0.8834645520000001,0.8571428571,0.5,1.0,1.0,0.25,0.25,0.0149233694,0.1988176822,1.0,1,1.0,1.0,0.0,0.0,0.0,0.0,"['Incorrect number of total trials for worker_id:s442', 'Incorrect number of trials in small condition for worker_id:s442', 'Incorrect number of trials in medium condition for worker_id:s442', 'Incorrect number of trials in large condition for worker_id:s442']",0,340.5,0.0,323.1519830129,,,,,
s449,8.0,0.1,1,-7.2972358749,-0.004,6,-4.0,6.6666666667,-2.2204460489999999e-16,0,-8.1602820923,-0.01,6,-1.6666666667,0.9659090909,-0.3337802157,0.1,3.2306635625,0.9743589744000001,386.0,0.9,0.025641025600000002,0.6555555556,718.0,953.0,0.0,-50.0,59,180.7054589303,160.5365733964,,,,,,,,,,1.0,0.9975981938,0.9984583584000001,0.9591600679000001,0.9984583584000001,1.0,1.0,1.0,1.0,0.0015704178,0.0006903211000000001,0.0149233694,0.0006903211000000001,1.0,1,1.0,1.0,0.7142857143,1.0,0.0,1.0,"['Incorrect number of total trials for worker_id:s449', 'Incorrect number of trials in small condition for worker_id:s449', 'Incorrect number of trials in medium condition for worker_id:s449', 'Incorrect number of trials in large condition for worker_id:s449']",3,309.5,0.0,67.4838424369,624.38,0.0,-0.1109419385,-0.0166941983,0.038696190400000004
s451,8.8333333333,0.125,0,-11.6379928237,-0.01,6,-4.25,9.8333333333,0.01,0,-12.7384510027,-0.0004,6,-4.8333333333,1.0,0.0,0.0,5.0626261818,1.0,383.0,1.0,0.0,0.5777777778000001,1466.5,1506.0,0.0,-41.5882352941,52,336.8941604412,364.8982047883,,,,,,,,,,0.75,0.9975981938,0.9984583584000001,0.9591600679000001,0.9984583584000001,1.0,1.0,1.0,1.0,0.0015704178,0.0006903211000000001,0.0149233694,0.0006903211000000001,1.0,1,1.0,1.0,0.7142857143,1.0,0.0,1.0,"['Incorrect number of total trials for worker_id:s451', 'Incorrect number of trials in small condition for worker_id:s451', 'Incorrect number of trials in medium condition for worker_id:s451', 'Incorrect number of trials in large condition for worker_id:s451']",3,334.0,0.0,39.5874259819,642.13,0.0,0.1186202125,-0.2536005394,-0.0112219623
s453,14.1666666667,-3.330669074e-16,2,160.5963759255,-0.01,6,2.5,15.2857142857,-0.07250000000000001,1,-10.5497995968,-0.013900000000000001,7,1.65,0.9886363636000001,-0.6553363710000001,0.1111111111,3.7519534397000003,1.0,317.0,0.8888888889000001,0.0,0.2727272727,512.5,487.0,0.022222222200000002,36.3333333333,24,301.7699478896,415.5109039002,,,,,,,,,,0.30000000000000004,0.8834645520000001,0.9368117971000001,0.9591600679000001,0.8834645520000001,0.8571428571,0.5,1.0,1.0,0.25,0.25,0.0149233694,0.1988176822,1.0,1,1.0,1.0,0.0,0.0,0.0,0.0,"['Incorrect number of total trials for worker_id:s453', 'Incorrect number of trials in small condition for worker_id:s453', 'Incorrect number of trials in medium condition for worker_id:s453', 'Incorrect number of trials in large condition for worker_id:s453']",0,401.5,0.0,178.2476121511,,,,,
s456,9.3333333333,0.1666666667,0,-15.4545359868,-0.006666666700000001,6,-4.6666666667,6.1666666667,-0.05,0,-12.3425115969,-0.006,6,2.0,0.9318181818000001,-0.5424598318,0.2857142857,2.2168173074,0.950617284,315.0,0.7142857143,0.049382716,0.2727272727,930.5,724.0,0.022222222200000002,,24,251.146227398,216.0451060478,,,,,,,,,,0.25,0.9502744311,0.9984583584000001,0.9591600679000001,0.8834645520000001,0.7142857143,1.0,1.0,0.6666666667000001,0.0049745512,0.0006903211000000001,0.0149233694,0.1988176822,0.7142857143,1,1.0,0.6666666667000001,0.4285714286,1.0,0.0,0.33333333330000003,"['Incorrect number of total trials for worker_id:s456', 'Incorrect number of trials in small condition for worker_id:s456', 'Incorrect number of trials in medium condition for worker_id:s456', 'Incorrect number of trials in large condition for worker_id:s456']",1,303.5,0.0,91.9253361447,590.4895833333,0.04,0.0710989063,-0.2811363288,0.0239712917
s467,10.0,2.4980018049999996e-16,0,189.4339094382,-1.561251128e-17,6,0.0,11.3333333333,0.30799112100000003,0,-11.6672613485,0.003,6,0.1666666667,0.9772727273,0.28040389390000003,0.0,4.5018183941,0.9756097561,378.5,1.0,0.0243902439,0.2555555556,927.0,880.0,0.0,93.75,23,257.3830368691,251.4481701474,,,,,,,,,,0.625,0.8834645520000001,0.9368117971000001,0.9591600679000001,0.8834645520000001,0.8571428571,0.5,1.0,1.0,0.25,0.25,0.0149233694,0.1988176822,1.0,1,1.0,1.0,0.0,0.0,0.0,0.0,"['Incorrect number of total trials for worker_id:s467', 'Incorrect number of trials in small condition for worker_id:s467', 'Incorrect number of trials in medium condition for worker_id:s467', 'Incorrect number of trials in large condition for worker_id:s467']",0,543.5,0.0,147.8675736788,714.4795918367,0.02,-0.3527111343,0.0077870068,-0.36005547
s469,14.6666666667,0.0285714286,1,-5.6183885111,-0.0005714286,6,-4.8571428571,18.6666666667,0.125,0,-11.1607987398,-0.01,6,-0.75,0.9886363636000001,-0.5980676774,0.0909090909,3.866490827,1.0,339.0,0.9090909091,0.0,0.4555555556,804.0,793.0,0.0,-105.5,41,132.3356504886,163.1338631705,,,,,,,,,,0.625,0.8834645520000001,0.9368117971000001,0.9591600679000001,0.8834645520000001,0.8571428571,0.5,1.0,1.0,0.25,0.25,0.0149233694,0.1988176822,1.0,1,1.0,1.0,0.0,0.0,0.0,0.0,"['Incorrect number of total trials for worker_id:s469', 'Incorrect number of trials in small condition for worker_id:s469', 'Incorrect number of trials in medium condition for worker_id:s469', 'Incorrect number of trials in large condition for worker_id:s469']",2,299.0,0.0,39.9343433412,762.27,0.0,0.21045575230000002,0.31929188740000003,0.0825743884
s471,15.0,-0.025,0,-12.2359915316,-0.0055000000000000005,6,-2.125,17.5714285714,-0.10416666670000001,1,-6.4436661522,-0.0006666667,7,-4.125,1.0,0.0,0.0,5.0626261818,1.0,355.0,1.0,0.0,0.2954545455,567.0,540.0,0.022222222200000002,,26,240.4689680923,391.3935890703,,,,,,,,,,0.25,0.9538658187000001,0.9984583584000001,0.9591600679000001,0.9538658187000001,0.8571428571,1.0,1.0,1.0,0.06403124240000001,0.0006903211000000001,0.0149233694,0.06403124240000001,0.8571428571,1,1.0,1.0,0.4285714286,1.0,0.0,0.33333333330000003,"['Incorrect number of total trials for worker_id:s471', 'Incorrect number of trials in small condition for worker_id:s471', 'Incorrect number of trials in medium condition for worker_id:s471', 'Incorrect number of trials in large condition for worker_id:s471']",0,341.0,0.0,108.2845843558,474.7,0.0,-0.6432671805,0.0640950191,-0.7645703858
s473,12.6666666667,-7.771561172e-16,1,185.2395229819,-3.2742905610000005e-17,6,-3.5,12.3333333333,0.075,0,-10.7749466064,0.003,6,-2.125,0.9659090909,-0.9100991986,0.33333333330000003,2.6816529958,0.987804878,336.0,0.6666666667000001,0.012195122000000001,0.3888888889,952.0,1061.0,0.0,27.6363636364,35,273.8877982869,240.1256222857,,,,,,,,,,0.6000000000000001,0.9975981938,0.9984583584000001,0.9591600679000001,0.9984583584000001,1.0,1.0,1.0,1.0,0.0015704178,0.0006903211000000001,0.0149233694,0.0006903211000000001,1.0,1,1.0,1.0,0.7142857143,1.0,0.0,1.0,"['Incorrect number of total trials for worker_id:s473', 'Incorrect number of trials in small condition for worker_id:s473', 'Incorrect number of trials in medium condition for worker_id:s473', 'Incorrect number of trials in large condition for worker_id:s473']",3,231.5,0.0,96.2403936571,658.22,0.0,0.6286022984,0.14010614300000002,0.7587858963
s477,15.0,2.2204460489999999e-16,1,166.2603801253,-4.683753385e-16,6,-5.0,10.75,-0.1,0,-14.1240969879,-8.291978215e-16,8,-1.0,1.0,0.0,0.0,5.0626261818,1.0,318.5,1.0,0.0,0.30681818180000003,297.0,344.0,0.022222222200000002,119.8,27,123.1082607896,129.7478765738,,,,,,,,,,0.0,0.9997499962,0.9984583584000001,0.9997499962,0.9984583584000001,1.0,1.0,1.0,1.0,0.0002011893,0.0006903211000000001,0.0002011893,0.0006903211000000001,1.0,1,1.0,1.0,0.8571428571,1.0,0.5,1.0,"['Incorrect number of total trials for worker_id:s477', 'Incorrect number of trials in small condition for worker_id:s477', 'Incorrect number of trials in medium condition for worker_id:s477', 'Incorrect number of trials in large condition for worker_id:s477']",0,292.0,0.0,44.8093162433,414.85,0.0,-0.2672766135,-0.13318130150000002,-0.27115636120000003
s481,11.1666666667,-0.525,1,-9.558551282,-0.021,6,4.25,8.0,-0.0571428571,1,-7.1651198584,0.0105041918,5,1.69747652,0.9772727273,-0.7318712835000001,0.1428571429,3.5988836148,1.0,344.5,0.8571428571,0.0,0.2584269663,898.0,792.0,0.011111111100000001,,23,282.9999720666,335.9430413621,,,,,,,,,,0.75,0.9997499962,0.9984583584000001,0.9997499962,0.9984583584000001,0.8571428571,1.0,0.5,1.0,0.0002011893,0.0006903211000000001,0.0002011893,0.0006903211000000001,0.8571428571,1,0.5,1.0,1.0,1.0,1.0,1.0,"['Incorrect number of total trials for worker_id:s481', 'Incorrect number of trials in small condition for worker_id:s481', 'Incorrect number of trials in medium condition for worker_id:s481', 'Incorrect number of trials in large condition for worker_id:s481']",3,337.0,0.0,59.3165975779,697.61,0.0,0.5626484758,-0.030428876,0.6805344950000001
s484,5.8333333333,-0.05,2,184.4355096699,-3.7296554730000006e-17,6,0.5,5.7142857143,0.01,0,-10.2204030763,0.0044,7,1.5,0.9431818182,-0.9013715454000001,0.5,1.8027430907,0.9642857143,387.0,0.5,0.0357142857,0.28888888890000003,821.5,861.5,0.0,,26,382.5843456526,374.6574940492,,,,,,,,,,0.5,0.9844600706000001,0.9368117971000001,0.9591600679000001,0.9844600706000001,1.0,1.0,1.0,1.0,0.0158414076,0.0399243052,0.0149233694,0.0158414076,1.0,1,1.0,1.0,0.4285714286,0.5,0.0,0.6666666667000001,"['Incorrect number of total trials for worker_id:s484', 'Incorrect number of trials in small condition for worker_id:s484', 'Incorrect number of trials in medium condition for worker_id:s484', 'Incorrect number of trials in large condition for worker_id:s484']",0,339.5,0.0,89.1178715036,,,,,
s489,1.8333333333000001,0.1,0,-1.9219574672,-0.0026666667,6,0.5,2.8,0.15,3,146.062824165,0.002,5,-1.5,1.0,0.0,0.0,5.0626261818,1.0,424.0,1.0,0.0,0.32584269660000004,858.0,732.5,0.011111111100000001,71.0,29,203.1082848371,248.8869794326,,,,,,,,,,0.5,0.9844600706000001,0.9368117971000001,0.9591600679000001,0.9844600706000001,0.8571428571,0.5,1.0,1.0,0.0158414076,0.25,0.0149233694,0.0158414076,0.8571428571,1,1.0,1.0,0.2857142857,0.0,0.0,0.6666666667000001,"['Incorrect number of total trials for worker_id:s489', 'Incorrect number of trials in small condition for worker_id:s489', 'Incorrect number of trials in medium condition for worker_id:s489', 'Incorrect number of trials in large condition for worker_id:s489']",0,346.5,0.0,65.0316040905,763.0612244898,0.02,0.23043304180000002,0.06743610330000001,0.2024724552
s492,11.8333333333,0.6000000000000001,1,-9.3766774166,-0.016,6,0.5,6.7142857143,0.0666666667,1,-1.7027563324,-0.0033333333,7,-2.3333333333,0.9886363636000001,-0.7318712835000001,0.1428571429,3.5988836148,1.0,325.0,0.8571428571,0.0,0.48888888890000004,635.0,580.5,0.0,106.9,44,221.2435197508,201.7410846045,,,,,,,,,,0.625,0.9538658187000001,0.9368117971000001,0.9591600679000001,0.9908840670000001,0.7142857143,0.5,1.0,0.6666666667000001,0.1265219767,0.25,0.0149233694,0.0014687276,0.7142857143,1,1.0,0.6666666667000001,0.2857142857,0.0,0.0,0.6666666667000001,"['Incorrect number of total trials for worker_id:s492', 'Incorrect number of trials in small condition for worker_id:s492', 'Incorrect number of trials in medium condition for worker_id:s492', 'Incorrect number of trials in large condition for worker_id:s492']",0,303.0,0.0,103.8368618717,431.03,0.0,-0.44852259440000003,-0.08595892890000001,-0.3913920629
s495,16.3333333333,0.15,1,-5.2177943332,0.004,6,-4.0,15.875,0.1576923077,1,-16.2736675925,0.0043076923,8,-3.9230769231,1.0,0.0,0.0,5.0626261818,1.0,441.5,1.0,0.0,0.5,995.0,1146.0,0.0,137.5,45,327.6246882694,321.770072875,,,,,,,,,,0.6666666667000001,0.9975981938,0.9984583584000001,0.9591600679000001,0.9984583584000001,1.0,1.0,1.0,1.0,0.0015704178,0.0006903211000000001,0.0149233694,0.0006903211000000001,1.0,1,1.0,1.0,0.7142857143,1.0,0.0,1.0,"['Incorrect number of total trials for worker_id:s495', 'Incorrect number of trials in small condition for worker_id:s495', 'Incorrect number of trials in medium condition for worker_id:s495', 'Incorrect number of trials in large condition for worker_id:s495']",3,332.0,0.0,31.755780379,913.84,0.0,-0.4855501847,0.31615662310000003,-0.3727062541
s500,9.5,0.1375,3,-3.8077834455,-0.006499896000000001,6,-2.59996e-05,12.6,0.4495005549,1,-8.2697017391,0.004,5,-1.5,0.9545454545000001,-1.0144554338,0.3076923077,3.0337153143,1.0,337.0,0.6923076923,0.0,0.3295454545,631.0,558.0,0.022222222200000002,254.0,29,524.1134456784,431.5976849565,,,,,,,,,,0.5,0.9997499962,0.9984583584000001,0.9997499962,0.932596148,0.7142857143,1.0,1.0,0.6666666667000001,0.0002011893,0.0006903211000000001,0.0002011893,0.056120869000000004,0.7142857143,1,1.0,0.6666666667000001,0.5714285714,1.0,0.5,0.33333333330000003,"['Incorrect number of total trials for worker_id:s500', 'Incorrect number of trials in small condition for worker_id:s500', 'Incorrect number of trials in medium condition for worker_id:s500', 'Incorrect number of trials in large condition for worker_id:s500']",2,320.0,0.0,160.2265931936,503.33,0.0,-0.5435144984,-0.0174249695,-0.5197209082
s501,23.3333333333,-1.110223025e-16,0,-11.4561189583,-7.632783294e-16,6,-2.5,14.5714285714,-0.1,0,-5.5478993427,-0.002,7,-1.0,1.0,0.0,0.0,5.0626261818,1.0,321.0,1.0,0.0,0.3777777778,574.5,601.5,0.0,-68.6,34,315.1644351955,338.0104336359,,,,,,,,,,1.0,0.9975981938,0.9984583584000001,0.9591600679000001,0.9984583584000001,1.0,1.0,1.0,1.0,0.0015704178,0.0006903211000000001,0.0149233694,0.0006903211000000001,1.0,1,1.0,1.0,0.7142857143,1.0,0.0,1.0,"['Incorrect number of total trials for worker_id:s501', 'Incorrect number of trials in small condition for worker_id:s501', 'Incorrect number of trials in medium condition for worker_id:s501', 'Incorrect number of trials in large condition for worker_id:s501']",3,420.5,0.0,65.885202331,518.14,0.0,-0.8993928519000001,-0.112768084,-1.0197963518
s502,9.0,-0.05,0,-11.2625033949,0.0189999662,6,-1.75,28.1666666667,-0.025,0,-8.675832863,0.005,6,0.0,1.0,0.0,0.0,5.0626261818,1.0,309.0,1.0,0.0,0.4302325581,602.0,520.0,0.044444444400000005,-190.6,37,434.560559508,427.7253294849,,,,,,,,,,0.6000000000000001,0.9538658187000001,0.9368117971000001,0.9591600679000001,0.9538658187000001,1.0,1.0,1.0,1.0,0.06403124240000001,0.0399243052,0.0149233694,0.06403124240000001,1.0,1,1.0,1.0,0.2857142857,0.5,0.0,0.33333333330000003,"['Incorrect number of total trials for worker_id:s502', 'Incorrect number of trials in small condition for worker_id:s502', 'Incorrect number of trials in medium condition for worker_id:s502', 'Incorrect number of trials in large condition for worker_id:s502']",3,302.0,0.0,57.3509819893,446.24,0.0,-0.3076795417,-0.4880127835,-0.39015276530000004
