,angling_risk_task_always_sunny.keep_adjusted_clicks,angling_risk_task_always_sunny.keep_coef_of_variation,angling_risk_task_always_sunny.keep_loss_percent,angling_risk_task_always_sunny.keep_score,angling_risk_task_always_sunny.release_adjusted_clicks,angling_risk_task_always_sunny.release_coef_of_variation,angling_risk_task_always_sunny.release_loss_percent,angling_risk_task_always_sunny.release_score,columbia_card_task_cold.avg_cards_chosen,columbia_card_task_cold.gain_sensitivity,columbia_card_task_cold.information_use,columbia_card_task_cold.log_ll,columbia_card_task_cold.loss_sensitivity,columbia_card_task_cold.num_trials,columbia_card_task_cold.probability_sensitivity,columbia_card_task_hot.avg_cards_chosen,columbia_card_task_hot.gain_sensitivity,columbia_card_task_hot.information_use,columbia_card_task_hot.log_ll,columbia_card_task_hot.loss_sensitivity,columbia_card_task_hot.num_trials,columbia_card_task_hot.probability_sensitivity,go_nogo.acc,go_nogo.bias,go_nogo.commission_errors,go_nogo.dprime,go_nogo.go_acc,go_nogo.go_rt,go_nogo.nogo_acc,go_nogo.omission_errors,hierarchical_rule.acc,hierarchical_rule.avg_rt,hierarchical_rule.avg_rt_error,hierarchical_rule.missed_percent,hierarchical_rule.post_error_slowing,hierarchical_rule.score,hierarchical_rule.std_rt,hierarchical_rule.std_rt_error,information_sampling_task.Decreasing_Win_P_correct,information_sampling_task.Decreasing_Win_acc,information_sampling_task.Decreasing_Win_boxes_opened,information_sampling_task.Decreasing_Win_motivation,information_sampling_task.Decreasing_Win_total_points,information_sampling_task.Fixed_Win_P_correct,information_sampling_task.Fixed_Win_acc,information_sampling_task.Fixed_Win_boxes_opened,information_sampling_task.Fixed_Win_motivation,information_sampling_task.Fixed_Win_total_points,keep_track.score,kirby.exp_discount_rate,kirby.exp_discount_rate_large,kirby.exp_discount_rate_medium,kirby.exp_discount_rate_small,kirby.exp_match_pct,kirby.exp_match_pct_large,kirby.exp_match_pct_medium,kirby.exp_match_pct_small,kirby.hyp_discount_rate,kirby.hyp_discount_rate_large,kirby.hyp_discount_rate_medium,kirby.hyp_discount_rate_small,kirby.hyp_match_pct,kirby.hyp_match_pct_large,kirby.hyp_match_pct_medium,kirby.hyp_match_pct_small,kirby.percent_patient,kirby.percent_patient_large,kirby.percent_patient_medium,kirby.percent_patient_small,kirby.warnings,ravens.score,simple_reaction_time.avg_rt,simple_reaction_time.missed_percent,simple_reaction_time.std_rt,two_stage_decision.avg_rt,two_stage_decision.missed_percent,two_stage_decision.model_based,two_stage_decision.model_free,two_stage_decision.perseverance
s005,,,,,,,,,12.3333333333,0.25639534880000003,2,-30.7170462373,-0.0290465116,12,-2.6162790698,14.0769230769,0.582,1,-37.0212982734,-0.01352,13,1.26,0.9828571429,-0.6934669289000001,0.1333333333,3.608477091,0.9937500000000001,330.0,0.8666666667,0.00625,0.375,760.0,822.0,0.0666666667,-39.0,63,188.9914063234,215.4055252147,0.7236789465,0.7000000000000001,7.7,0.0009836497,860.0,0.9121093750000001,1.0,18.5,0.0013927107000000002,200.0,0.6923076923,0.9967484003,0.9967484003,0.9975981938,0.9984583584000001,1.0,1.0,1.0,1.0,0.0024746160000000002,0.0024746160000000002,0.0015704178,0.0006903211000000001,1.0,1.0,1.0,1.0,0.6428571429000001,0.5,0.6000000000000001,0.8,"['Incorrect number of total trials for worker_id:s005', 'Incorrect number of trials in small condition for worker_id:s005', 'Incorrect number of trials in medium condition for worker_id:s005', 'Incorrect number of trials in large condition for worker_id:s005']",7,269.0,0.0,73.2350971834,803.9030612245,0.02,0.3494232031,-0.23540286330000001,0.0179477906
s007,,,,,,,,,13.0833333333,0.0161764706,1,-23.8528776457,0.0033529412,12,1.7941176471,16.6666666667,0.1015625,0,-25.6385135517,0.0015937500000000001,12,-1.1484375,0.9714285714,-1.0871426569,0.2777777778,3.3531969094000003,1.0,354.0,0.7222222222,0.0,0.4463276836,1349.0,1446.0,0.0166666667,10.1538461538,79,422.3913483397,511.2629046066,,,,,,,,,,,0.7777777778,0.9554016036,0.9368117971000001,0.9538658187000001,0.9559140812,0.8571428571,1.0,1.0,0.8,0.0399243052,0.0399243052,0.06403124240000001,0.034107706200000004,0.8571428571,1.0,1.0,0.8,0.2857142857,0.25,0.2,0.4,"['Incorrect number of total trials for worker_id:s007', 'Incorrect number of trials in small condition for worker_id:s007', 'Incorrect number of trials in medium condition for worker_id:s007', 'Incorrect number of trials in large condition for worker_id:s007']",6,376.0,0.0,56.9851031585,,,,,
s009,47.5,5.6862407031,0.2,140.0,30.5555555556,1.4234267775,0.4,520.0,7.0833333333,0.0429292929,2,-33.4514125198,-0.0196969697,12,-3.7373737374,6.6153846154,0.39237288140000004,2,-39.502427962,-0.0286271186,13,-5.0677966102,1.0,0.0,0.0,5.5274822231,1.0,279.5,1.0,0.0,0.5833333333,768.0,813.0,0.0,-46.48,105,257.70126492,294.3850655975,,,,,,,,,,,0.5384615385,0.9967484003,0.9967484003,0.9844600706000001,0.9984583584000001,0.9285714286000001,1.0,1.0,1.0,0.0024746160000000002,0.0024746160000000002,0.0158414076,0.0006903211000000001,0.9285714286000001,1.0,1.0,1.0,0.5714285714,0.5,0.4,0.8,"['Incorrect number of total trials for worker_id:s009', 'Incorrect number of trials in small condition for worker_id:s009', 'Incorrect number of trials in medium condition for worker_id:s009', 'Incorrect number of trials in large condition for worker_id:s009']",5,254.0,0.0,62.1288054647,569.89,0.0,0.4735163804,-0.18017818830000001,-0.0752298933
s011,,,,,,,,,10.5833333333,0.0621212121,1,-31.3592830892,-0.0111515152,12,-1.1363636364,10.3636363636,0.11543209880000001,1,-26.956186296,-0.0074444444,11,-4.5586419753000005,0.9885714286,-0.8480852938000001,0.1428571429,3.8313116354,1.0,329.0,0.8571428571,0.0,0.6312849162,840.0,912.0,0.0055555556,75.5,113,240.5559051224,218.6548365098,0.7266063690000001,0.8,6.1,0.0013082775,1290.0,0.6666666667000001,0.6666666667000001,25.0,0.0024880676000000003,100.0,0.7857142857,0.866,0.9368117971000001,0.8834645520000001,0.866,0.9285714286000001,0.75,1.0,1.0,0.25,0.25,0.1988176822,0.25,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,"['Incorrect number of total trials for worker_id:s011', 'Incorrect number of trials in small condition for worker_id:s011', 'Incorrect number of trials in medium condition for worker_id:s011', 'Incorrect number of trials in large condition for worker_id:s011']",5,366.0,0.0,83.1440365319,486.045,0.0,-0.7521921024,-0.1323224687,-0.592564403
s012,,,,,,,,,8.3333333333,0.30000000000000004,2,-37.7588500161,-0.026000000000000002,12,-6.5,4.0666666667,0.1539325843,1,-39.4782971995,-0.0139101124,15,-1.2162921348,0.9771428571,-0.9509309999000001,0.2727272727,3.1110326931,0.9939024390000001,324.0,0.7272727273,0.0060975610000000005,0.5888888889,665.0,696.0,0.0,-2.7307692308,106,210.0294105106,310.6124025304,0.5907514930000001,0.8,2.3,0.0013580401,1600.0,0.9775390625,1.0,20.75,0.0021118837,400.0,0.7142857143,0.9844600706000001,0.9368117971000001,0.9844600706000001,0.9844600706000001,1.0,1.0,1.0,1.0,0.0158414076,0.0399243052,0.0158414076,0.0158414076,1.0,1.0,1.0,1.0,0.4285714286,0.25,0.4,0.6000000000000001,"['Incorrect number of total trials for worker_id:s012', 'Incorrect number of trials in small condition for worker_id:s012', 'Incorrect number of trials in medium condition for worker_id:s012', 'Incorrect number of trials in large condition for worker_id:s012']",6,292.0,0.0,51.7990295224,643.785,0.0,0.7230530726000001,0.0807083463,0.9973176738
s014,,,,,,,,,11.3333333333,0.2025,0,-34.8548752067,-0.0029000000000000002,12,-2.05,6.0,0.3083333333,0,-27.9310789321,-0.0156666667,10,-2.4166666667,0.9885714286,-0.4642581307,0.058823529400000005,4.0579692041,0.9936708861,319.0,0.9411764706,0.0063291139,0.3295454545,497.0,460.0,0.022222222200000002,-114.0,58,315.3769161076,344.5998396274,,,,,,,,,,,0.4210526316,0.92720086,0.9368117971000001,0.8834645520000001,0.9538658187000001,0.8571428571,0.75,1.0,1.0,0.1362805823,0.25,0.1988176822,0.06403124240000001,0.8571428571,1.0,1.0,1.0,0.1428571429,0.0,0.0,0.4,"['Incorrect number of total trials for worker_id:s014', 'Incorrect number of trials in small condition for worker_id:s014', 'Incorrect number of trials in medium condition for worker_id:s014', 'Incorrect number of trials in large condition for worker_id:s014']",0,332.0,0.0,145.5759088078,,,,,
s015,60.0,,0.0,0.0,35.4666666667,13.3997157042,0.5,512.0,15.0,8.326672685e-16,1,358.6862524352,-4.5102810380000006e-17,12,-5.0,10.9166666667,0.0565656566,1,-17.9348254249,-0.0002626263,12,-7.8939393939,0.96,-1.2703666403,0.4117647059,2.9867489425000002,1.0,310.0,0.5882352941,0.0,0.4944444444,1105.0,1132.0,0.0,26.1,89,339.2328427551,360.0215388347,0.7067575455,0.6000000000000001,5.7,0.0015690091000000001,790.0,0.9791666667000001,1.0,22.6666666667,0.0016396294,300.0,0.8,0.9538658187000001,0.9368117971000001,0.9538658187000001,0.9538658187000001,1.0,1.0,1.0,1.0,0.06403124240000001,0.0399243052,0.06403124240000001,0.06403124240000001,1.0,1.0,1.0,1.0,0.2857142857,0.25,0.2,0.4,"['Incorrect number of total trials for worker_id:s015', 'Incorrect number of trials in small condition for worker_id:s015', 'Incorrect number of trials in medium condition for worker_id:s015', 'Incorrect number of trials in large condition for worker_id:s015']",6,293.0,0.0,49.0645392214,590.1717171717,0.01,-0.8283599193000001,0.0426090733,-0.7288545471
s017,,,,,,,,,5.75,0.0813432836,0,-25.5648333643,-0.0052537313,12,-0.5820895522,14.0,0.5761316872000001,2,-10.3320386099,-0.009000000000000001,6,2.7613168724,0.9942857143,-0.5476749588000001,0.0476190476,4.4321323055,1.0,320.0,0.9523809524,0.0,0.6333333333,875.5,950.5,0.0,71.2962962963,114,226.7101990673,335.0042479639,,,,,,,,,,,0.6000000000000001,0.9997499962,0.9995999600000001,0.9997499962,0.9984583584000001,0.9285714286000001,0.75,1.0,1.0,0.0002011893,0.00029472250000000004,0.0002011893,0.0006903211000000001,0.9285714286000001,0.75,1.0,1.0,0.8571428571,1.0,0.8,0.8,"['Incorrect number of total trials for worker_id:s017', 'Incorrect number of trials in small condition for worker_id:s017', 'Incorrect number of trials in medium condition for worker_id:s017', 'Incorrect number of trials in large condition for worker_id:s017']",4,350.0,0.0,71.4402743051,688.305,0.0,-0.0244727921,0.1587973192,-0.3119256831
s026,,,,,,,,,10.0,-1.942890293e-16,0,354.6082582675,-5.551115123e-17,12,4.440892099e-16,6.0833333333,-0.0077464789,0,-0.4756475169,-0.0001971831,12,0.0633802817,0.9885714286,-0.8066958656000001,0.125,3.9140904919,1.0,300.0,0.875,0.0,0.3910614525,621.0,593.0,0.0055555556,1.8,70,229.385593978,209.3883301831,0.7183802605,0.7000000000000001,7.9,0.0023475321000000003,700.0,1.0,1.0,25.0,0.0027806106,200.0,0.5333333333,0.9844600706000001,0.9368117971000001,0.9844600706000001,0.9844600706000001,1.0,1.0,1.0,1.0,0.0158414076,0.0399243052,0.0158414076,0.0158414076,1.0,1.0,1.0,1.0,0.4285714286,0.25,0.4,0.6000000000000001,"['Incorrect number of total trials for worker_id:s026', 'Incorrect number of trials in small condition for worker_id:s026', 'Incorrect number of trials in medium condition for worker_id:s026', 'Incorrect number of trials in large condition for worker_id:s026']",5,297.0,0.0,63.5736559412,558.9898989899,0.01,-0.9802279101,0.1796096015,-0.5918083592
s027,,,,,,,,,4.4166666667,-0.0735294118,1,-31.6505753125,-0.019058823500000002,12,2.3529411765,8.6666666667,0.1875609756,0,-29.5488647797,0.0020195122000000003,12,-2.1536585366,0.9885714286,-0.8981597727,0.1666666667,3.7311626777,1.0,324.0,0.8333333333,0.0,0.4166666667,1127.0,1161.0,0.0,-27.0,75,283.4745157524,306.8314516858,,,,,,,,,,,0.7333333333000001,0.9741544815000001,0.9368117971000001,0.9844600706000001,0.9538658187000001,0.9285714286000001,1.0,1.0,1.0,0.025234410000000002,0.0399243052,0.0158414076,0.06403124240000001,0.9285714286000001,1.0,1.0,1.0,0.3571428571,0.25,0.4,0.4,"['Incorrect number of total trials for worker_id:s027', 'Incorrect number of trials in small condition for worker_id:s027', 'Incorrect number of trials in medium condition for worker_id:s027', 'Incorrect number of trials in large condition for worker_id:s027']",4,286.0,0.0,55.2060448446,,,,,
