,angling_risk_task_always_sunny.keep_adjusted_clicks,angling_risk_task_always_sunny.keep_coef_of_variation,angling_risk_task_always_sunny.keep_loss_percent,angling_risk_task_always_sunny.keep_score,angling_risk_task_always_sunny.release_adjusted_clicks,angling_risk_task_always_sunny.release_coef_of_variation,angling_risk_task_always_sunny.release_loss_percent,angling_risk_task_always_sunny.release_score,columbia_card_task_cold.avg_cards_chosen,columbia_card_task_cold.gain_sensitivity,columbia_card_task_cold.information_use,columbia_card_task_cold.log_ll,columbia_card_task_cold.loss_sensitivity,columbia_card_task_cold.num_trials,columbia_card_task_cold.probability_sensitivity,columbia_card_task_hot.avg_cards_chosen,columbia_card_task_hot.gain_sensitivity,columbia_card_task_hot.information_use,columbia_card_task_hot.log_ll,columbia_card_task_hot.loss_sensitivity,columbia_card_task_hot.num_trials,columbia_card_task_hot.probability_sensitivity,go_nogo.acc,go_nogo.bias,go_nogo.commission_errors,go_nogo.dprime,go_nogo.go_acc,go_nogo.go_rt,go_nogo.nogo_acc,go_nogo.omission_errors,hierarchical_rule.acc,hierarchical_rule.avg_rt,hierarchical_rule.avg_rt_error,hierarchical_rule.missed_percent,hierarchical_rule.post_error_slowing,hierarchical_rule.score,hierarchical_rule.std_rt,hierarchical_rule.std_rt_error,information_sampling_task.Decreasing_Win_P_correct,information_sampling_task.Decreasing_Win_acc,information_sampling_task.Decreasing_Win_boxes_opened,information_sampling_task.Decreasing_Win_motivation,information_sampling_task.Decreasing_Win_total_points,information_sampling_task.Fixed_Win_P_correct,information_sampling_task.Fixed_Win_acc,information_sampling_task.Fixed_Win_boxes_opened,information_sampling_task.Fixed_Win_motivation,information_sampling_task.Fixed_Win_total_points,keep_track.score,kirby.exp_discount_rate,kirby.exp_discount_rate_large,kirby.exp_discount_rate_medium,kirby.exp_discount_rate_small,kirby.exp_match_pct,kirby.exp_match_pct_large,kirby.exp_match_pct_medium,kirby.exp_match_pct_small,kirby.hyp_discount_rate,kirby.hyp_discount_rate_large,kirby.hyp_discount_rate_medium,kirby.hyp_discount_rate_small,kirby.hyp_match_pct,kirby.hyp_match_pct_large,kirby.hyp_match_pct_medium,kirby.hyp_match_pct_small,kirby.percent_patient,kirby.percent_patient_large,kirby.percent_patient_medium,kirby.percent_patient_small,kirby.warnings,ravens.score,simple_reaction_time.avg_rt,simple_reaction_time.missed_percent,simple_reaction_time.std_rt,two_stage_decision.avg_rt,two_stage_decision.missed_percent,two_stage_decision.model_based,two_stage_decision.model_free,two_stage_decision.perseverance
s336,41.5,7.0435155364,0.375,379.0,32.5714285714,4.8432574634000005,0.30000000000000004,651.0,16.3333333333,0.1216919026,2,-46.384613747,-0.013681369300000001,18,-2.2570770244,13.2777777778,0.1193965517,1,-43.211566068,-0.0035172414,18,-3.1810344828,0.9770992366000001,-1.0256490172,0.2,3.7345405014,1.0,344.5,0.8,0.0,0.537593985,731.0,798.0,0.014814814800000001,-16.2444444444,143,210.0630000757,192.1601091026,0.8380622864,1.0,6.5,0.0031276376,370.0,0.9084777832,1.0,17.1,0.0033518298,1000.0,0.5384615385,0.9012813101,0.8834645520000001,0.8834645520000001,0.9012813101,0.9500000000000001,0.8571428571,1.0,1.0,0.1988176822,0.25,0.1988176822,0.158113883,0.9500000000000001,1.0,1.0,1.0,0.05,0.0,0.0,0.1428571429,"['Incorrect number of total trials for worker_id:s336', 'Incorrect number of trials in small condition for worker_id:s336', 'Incorrect number of trials in medium condition for worker_id:s336', 'Incorrect number of trials in large condition for worker_id:s336']",3,403.0,0.0,112.6502967868,445.6366666667,0.0,0.5827598684,-0.06426960720000001,1.2354838267
s339,22.7777777778,5.6519416526,0.4,185.0,18.0952380952,5.1176631572,0.30000000000000004,365.0,8.0,0.0346609612,0,-51.4970395287,-0.0001540487,18,-1.5404871626,11.2222222222,-0.0410294118,1,-44.2743228024,-0.0054470588000000006,18,-2.6801470588000003,0.9656488550000001,-1.1702383416,0.2903225806,3.4453618525,1.0,297.0,0.7096774194000001,0.0,0.32388663970000003,388.0,439.0,0.0851851852,-57.1538461538,80,242.0172184349,416.3166914981,0.8337783813,1.0,10.8,0.0013142468,1420.0,0.9044914246,0.5,11.5,0.0015233799000000001,0.0,0.7142857143,0.999299955,0.999299955,0.9997499962,0.9975981938,0.9,0.8571428571,1.0,1.0,0.0006324555,0.0006324555,0.0002011893,0.0015704178,0.9,0.8571428571,1.0,1.0,0.8,0.8571428571,0.8333333333,0.7142857143,"['Incorrect number of total trials for worker_id:s339', 'Incorrect number of trials in small condition for worker_id:s339', 'Incorrect number of trials in medium condition for worker_id:s339', 'Incorrect number of trials in large condition for worker_id:s339']",11,332.0,0.0178571429,209.4637780427,610.5234899329,0.006666666700000001,1.0516163796,-0.2597772605,1.5620428481
s346,45.25,17.9044179413,0.33333333330000003,505.0,25.0,2.6692695630000003,0.4333333333,400.0,8.4444444444,-0.0736842105,2,-49.8003584392,-0.0125263158,18,-3.3421052632,7.6666666667,0.0441620879,0,-44.9902677611,-0.0018241758,18,-0.8956043956,0.9694656489000001,-0.6687392468000001,0.18518518520000002,3.1290381314,0.9872340426,488.5,0.8148148148000001,0.0127659574,0.34831460670000003,736.0,702.0,0.011111111100000001,10.5714285714,93,205.7173369478,269.098721943,0.7500499249,0.8,4.7,0.0009478006,1420.0,0.7718505859,0.8333333333,16.1666666667,0.0017603855000000001,400.0,0.5384615385,0.9904938162,0.9800617852000001,0.9844600706000001,0.9904938162,0.9,0.7142857143,1.0,1.0,0.009797959,0.0126251739,0.0158414076,0.009797959,0.9,0.7142857143,1.0,1.0,0.5,0.5714285714,0.33333333330000003,0.5714285714,"['Incorrect number of total trials for worker_id:s346', 'Incorrect number of trials in small condition for worker_id:s346', 'Incorrect number of trials in medium condition for worker_id:s346', 'Incorrect number of trials in large condition for worker_id:s346']",4,369.5,0.0,103.7926231623,605.7718120805,0.006666666700000001,0.24849136900000002,-0.35879119060000003,0.0208397879
s357,40.0,0.0,0.3529411765,400.0,30.625,2.5,0.4666666667,460.0,4.4444444444,0.046052631600000005,2,-31.82515343,-0.011578947400000001,18,-1.9736842105,4.1,0.0489795918,2,-30.3706242926,-0.0047346939,20,-1.0816326531,0.9732824427000001,-1.1721984926,0.2916666667,3.4414415506,1.0,368.5,0.7083333333,0.0,0.42084942080000004,1365.0,1370.0,0.0407407407,-125.75,109,359.9152088011,443.5156421001,0.7589950562000001,0.5,12.0,0.0004849798,60.0,1.0,1.0,24.1,0.0009331378000000001,1000.0,0.6000000000000001,0.9904938162,0.9741544815000001,0.9844600706000001,0.9975981938,0.9500000000000001,1.0,1.0,1.0,0.009797959,0.025234410000000002,0.0158414076,0.0015704178,0.9500000000000001,1.0,1.0,1.0,0.45,0.2857142857,0.33333333330000003,0.7142857143,"['Incorrect number of total trials for worker_id:s357', 'Incorrect number of trials in small condition for worker_id:s357', 'Incorrect number of trials in medium condition for worker_id:s357', 'Incorrect number of trials in large condition for worker_id:s357']",10,250.0,0.0,29.3666507618,1010.8489932886,0.006666666700000001,0.3702738769,0.4267004084,0.9859697509
s359,31.9166666667,5.7597085364,0.4545454545,353.0,13.4545454545,3.9124620519,0.2666666667,286.0,4.8888888889,-0.0107023411,0,-36.6349792101,-0.0033591973,18,-0.5183946488,6.0,0.2110526316,3,-42.7749898483,-0.0071315789,18,-2.0328947368,0.9885496183,-0.8361394595,0.1111111111,4.1135596167,1.0,408.0,0.8888888889000001,0.0,0.5509433962,935.5,937.0,0.0185185185,-25.8108108108,146,367.2531456375,354.7547491732,0.8894042969,0.6666666667000001,12.0,0.0014236976,150.0,0.8596725464,1.0,15.8,0.0013257659,1000.0,0.3571428571,0.9979994990000001,0.9979994990000001,0.9986495153,0.9975981938,1.0,1.0,1.0,1.0,0.0015811388,0.0015811388,0.001,0.0015704178,1.0,1.0,1.0,1.0,0.65,0.5714285714,0.6666666667000001,0.7142857143,"['Incorrect number of total trials for worker_id:s359', 'Incorrect number of trials in small condition for worker_id:s359', 'Incorrect number of trials in medium condition for worker_id:s359', 'Incorrect number of trials in large condition for worker_id:s359']",9,290.5,0.0,45.1934770737,739.6433333333,0.0,0.2915777323,-0.8763672983,-0.5588451293
s365,45.9090909091,10.7559708577,0.3529411765,455.0,35.3125,10.4608396731,0.4666666667,535.0,12.7777777778,0.1409809085,3,-36.6048053511,-0.0073811718,18,-4.3788676761,16.1875,0.0586434574,1,-35.0618274988,-0.0033325330000000004,16,-4.3217286915,0.9885496183,-0.8472697828,0.1153846154,4.0912989702,1.0,326.0,0.8846153846,0.0,0.5592592593,1032.0,1270.0,0.0,34.0967741935,151,330.0449854949,394.683457494,0.8153915405000001,0.5,11.5,0.0014431541000000001,0.0,0.9463121414000001,1.0,18.2,0.0015674109,1000.0,0.5333333333,0.9538658187000001,0.9741544815000001,0.9538658187000001,0.9012813101,0.9500000000000001,1.0,1.0,1.0,0.06403124240000001,0.025234410000000002,0.06403124240000001,0.158113883,0.9500000000000001,1.0,1.0,1.0,0.2,0.2857142857,0.1666666667,0.1428571429,"['Incorrect number of total trials for worker_id:s365', 'Incorrect number of trials in small condition for worker_id:s365', 'Incorrect number of trials in medium condition for worker_id:s365', 'Incorrect number of trials in large condition for worker_id:s365']",12,321.5,0.0,59.4385139193,821.3633333333,0.0,0.1417825708,0.6241083287,0.5581485812
s368,23.8260869565,5.6056154792,0.2333333333,523.0,17.0,2.5819888975,0.2857142857,150.0,7.0,0.0267573696,1,-43.7362381634,-0.0008102797,18,-2.7120181406,7.8235294118,-0.0479166667,1,-23.0107144665,0.00016666670000000001,17,-2.4166666667,0.9847328244,-0.9492306923,0.16,3.8873771511,1.0,351.0,0.84,0.0,0.4444444444,932.0,892.5,0.0,68.7368421053,120,342.6651398074,337.9408484439,0.6585773468,0.9,5.0,0.0010137876000000001,1700.0,0.6454919179,0.5,7.0,0.0012049363,0.0,0.6153846154,0.9784630806000001,0.9741544815000001,0.9844600706000001,0.9784630806000001,1.0,1.0,1.0,1.0,0.0256124969,0.025234410000000002,0.0158414076,0.0256124969,1.0,1.0,1.0,1.0,0.35000000000000003,0.2857142857,0.33333333330000003,0.4285714286,"['Incorrect number of total trials for worker_id:s368', 'Incorrect number of trials in small condition for worker_id:s368', 'Incorrect number of trials in medium condition for worker_id:s368', 'Incorrect number of trials in large condition for worker_id:s368']",3,245.0,0.0,40.9689422736,542.69,0.0,-0.6832180895000001,-0.1910457105,-0.8032558065000001
s369,8.3076923077,3.4031659468,0.1333333333,206.0,5.9411764706,2.860738284,0.1052631579,91.0,10.1111111111,-0.0035714286,1,-36.1157610048,-0.0022857143,18,-6.6785714286,6.6666666667,-0.0748940678,1,-27.3230880884,0.0011440678,15,-1.4533898305,0.9923664122,-0.7334211978,0.0769230769,4.3189961401,1.0,354.0,0.9230769231,0.0,0.5187969925,1344.0,1353.5,0.014814814800000001,112.1515151515,138,374.313635633,461.4582035883,0.7332446337,0.7000000000000001,7.1,0.0008505253000000001,950.0,0.8940429688,1.0,20.1666666667,0.0012950912,600.0,0.3928571429,0.9315007465,0.8834645520000001,0.9538658187000001,0.9784630806000001,0.75,0.7142857143,1.0,0.8571428571,0.25,0.25,0.06403124240000001,0.0256124969,0.8,0.8571428571,1.0,0.8571428571,0.2,0.1428571429,0.1666666667,0.2857142857,"['Incorrect number of total trials for worker_id:s369', 'Incorrect number of trials in small condition for worker_id:s369', 'Incorrect number of trials in medium condition for worker_id:s369', 'Incorrect number of trials in large condition for worker_id:s369']",6,387.0,0.0,82.4938431266,,,,,
s372,,,,,,,,,14.7222222222,-0.0404929577,1,-42.2181480522,-0.0006056338,18,-3.8556338028,10.7647058824,0.0135964912,1,-34.2137554094,5.84795e-05,17,-4.0409356725,1.0,0.0,0.0,5.7858385357,1.0,387.0,1.0,0.0,0.43866171,1015.0,1021.0,0.0037037037000000003,28.692307692299998,118,436.0833769443,432.0920695364,0.7025615215000001,0.9,6.8,0.0014150189,1560.0,1.0,1.0,24.8333333333,0.001961145,600.0,0.4666666667,0.9012813101,0.8834645520000001,0.8834645520000001,0.9012813101,1.0,1.0,1.0,1.0,0.158113883,0.158113883,0.1988176822,0.158113883,1.0,1.0,1.0,1.0,0.1,0.1428571429,0.0,0.1428571429,"['Incorrect number of total trials for worker_id:s372', 'Incorrect number of trials in small condition for worker_id:s372', 'Incorrect number of trials in medium condition for worker_id:s372', 'Incorrect number of trials in large condition for worker_id:s372']",11,401.0,0.0,77.8328221138,672.5766666667,0.0,0.6461048684,-0.048901235300000005,0.4186094235
s373,24.9285714286,6.5687404918,0.2222222222,329.0,20.4545454545,6.5299841225,0.2666666667,430.0,9.7222222222,0.0376254181,0,-48.9881852202,0.0026715719,18,-2.0568561873,3.6666666667000003,-0.07468749999999999,1,-37.8432089864,-0.004612499999999999,18,-1.90625,0.9847328244,-0.912674372,0.1428571429,3.9604897918,1.0,351.0,0.8571428571,0.0,0.3070866142,518.5,560.0,0.0592592593,-170.7058823529,78,474.4360783157,327.8537904647,0.7894795736,1.0,8.6666666667,0.0012167721000000001,490.0,0.9040328979000001,1.0,16.2,0.0018738852000000001,1000.0,0.5384615385,0.9012813101,0.8834645520000001,0.8834645520000001,0.9012813101,1.0,1.0,1.0,1.0,0.158113883,0.158113883,0.1988176822,0.158113883,1.0,1.0,1.0,1.0,0.1,0.1428571429,0.0,0.1428571429,"['Incorrect number of total trials for worker_id:s373', 'Incorrect number of trials in small condition for worker_id:s373', 'Incorrect number of trials in medium condition for worker_id:s373', 'Incorrect number of trials in large condition for worker_id:s373']",4,388.0,0.0178571429,204.1360639635,758.7121212121,0.12,-0.1570746204,-0.5647480833,-0.3875096089
