"dv","N","rep","icc_median","icc_2.5","icc_97.5","spearman_median","spearman_2.5","spearman_97.5","eta_median","eta_2.5","eta_97.5","sem_median","sem_2.5","sem_97.5"
"adaptive_n_back.EZ_drift","10","1000",0.790773592459408,0.221383121047851,0.956155901622681,0.7,0.0714285714285714,0.939393939393939,0.7,0.0714285714285714,0.939393939393939,0.7,0.0714285714285714,0.939393939393939
"adaptive_n_back.EZ_drift","100","1000",0.778856156064531,0.699725055797725,0.842184586614703,0.68384712827639,0.578212390667983,0.778988755827284,0.68384712827639,0.578212390667983,0.778988755827284,0.68384712827639,0.578212390667983,0.778988755827284
"adaptive_n_back.EZ_drift","110","1000",0.779403290913224,0.696477750046087,0.84572461178983,0.684307519865482,0.578457182125945,0.777367268675576,0.684307519865482,0.578457182125945,0.777367268675576,0.684307519865482,0.578457182125945,0.777367268675576
"adaptive_n_back.EZ_drift","120","1000",0.780877702831475,0.703544802009232,0.841219050273046,0.686078490142223,0.587214949628793,0.772069241441087,0.686078490142223,0.587214949628793,0.772069241441087,0.686078490142223,0.587214949628793,0.772069241441087
"adaptive_n_back.EZ_drift","130","1000",0.780529733456436,0.708542265431225,0.835732325370985,0.684821018879229,0.593502793933173,0.766832840155625,0.684821018879229,0.593502793933173,0.766832840155625,0.684821018879229,0.593502793933173,0.766832840155625
"adaptive_n_back.EZ_drift","140","1000",0.77777105712399,0.721428747346425,0.832048032986262,0.68279801005135,0.602297779970054,0.761843010720513,0.68279801005135,0.602297779970054,0.761843010720513,0.68279801005135,0.602297779970054,0.761843010720513
"adaptive_n_back.EZ_drift","150","1000",0.778799499835205,0.715454856191073,0.830018525949031,0.684019859148117,0.602624812494133,0.764654321284961,0.684019859148117,0.602624812494133,0.764654321284961,0.684019859148117,0.602624812494133,0.764654321284961
"adaptive_n_back.EZ_drift","20","1000",0.78209592626151,0.466077939219015,0.925650698769827,0.682301341589267,0.329654282765738,0.900023219814241,0.682301341589267,0.329654282765738,0.900023219814241,0.682301341589267,0.329654282765738,0.900023219814241
"adaptive_n_back.EZ_drift","30","1000",0.779103075069459,0.564808989654446,0.906982154806383,0.687976081889126,0.422871009425357,0.861547682202855,0.687976081889126,0.422871009425357,0.861547682202855,0.687976081889126,0.422871009425357,0.861547682202855
"adaptive_n_back.EZ_drift","40","1000",0.78218361875504,0.59790233899429,0.887258440402433,0.680359299144878,0.45341976453338,0.841873510249484,0.680359299144878,0.45341976453338,0.841873510249484,0.680359299144878,0.45341976453338,0.841873510249484
"adaptive_n_back.EZ_drift","50","1000",0.780013104882116,0.627887203875117,0.880285319703723,0.68697505960022,0.500264319580303,0.822558508425213,0.68697505960022,0.500264319580303,0.822558508425213,0.68697505960022,0.500264319580303,0.822558508425213
"adaptive_n_back.EZ_drift","60","1000",0.780526084194271,0.654804475292094,0.8687919989404,0.685440286629786,0.511483091081196,0.813026061906634,0.685440286629786,0.511483091081196,0.813026061906634,0.685440286629786,0.511483091081196,0.813026061906634
"adaptive_n_back.EZ_drift","70","1000",0.778313327890231,0.668497099483235,0.859685282417875,0.683345575508648,0.531233874881721,0.796696581720167,0.683345575508648,0.531233874881721,0.796696581720167,0.683345575508648,0.531233874881721,0.796696581720167
"adaptive_n_back.EZ_drift","80","1000",0.779644926724094,0.679027869491608,0.856517319653418,0.682743142168676,0.557772008091266,0.790293752324555,0.682743142168676,0.557772008091266,0.790293752324555,0.682743142168676,0.557772008091266,0.790293752324555
"adaptive_n_back.EZ_drift","90","1000",0.778581262527827,0.685219033709959,0.848141602653363,0.681570597567425,0.573431207459252,0.787530205523039,0.681570597567425,0.573431207459252,0.787530205523039,0.681570597567425,0.573431207459252,0.787530205523039
"adaptive_n_back.EZ_non_decision","10","1000",0.772581568808352,-0.758584148450916,0.958104809020306,0.617857142857143,-0.0952380952380952,0.928571428571429,0.617857142857143,-0.0952380952380952,0.928571428571429,0.617857142857143,-0.0952380952380952,0.928571428571429
"adaptive_n_back.EZ_non_decision","100","1000",0.498043352471154,0.201860701306206,0.841747885984714,0.605203431145333,0.476670015651108,0.727070847807,0.605203431145333,0.476670015651108,0.727070847807,0.605203431145333,0.476670015651108,0.727070847807
"adaptive_n_back.EZ_non_decision","110","1000",0.50617849917338,0.240326627231015,0.836280151576269,0.606132227152872,0.48696640708113,0.72114769725296,0.606132227152872,0.48696640708113,0.72114769725296,0.606132227152872,0.48696640708113,0.72114769725296
"adaptive_n_back.EZ_non_decision","120","1000",0.481502443262868,0.269299311315406,0.836317002764124,0.606088274208705,0.492681934892443,0.721425781882144,0.606088274208705,0.492681934892443,0.721425781882144,0.606088274208705,0.492681934892443,0.721425781882144
"adaptive_n_back.EZ_non_decision","130","1000",0.481421786013816,0.2718039182934,0.831984358544643,0.603853278200217,0.494066102081676,0.712959010840108,0.603853278200217,0.494066102081676,0.712959010840108,0.603853278200217,0.494066102081676,0.712959010840108
"adaptive_n_back.EZ_non_decision","140","1000",0.493054382419771,0.299603539757353,0.833948750145993,0.608151560422947,0.508843064007346,0.715982794135321,0.608151560422947,0.508843064007346,0.715982794135321,0.608151560422947,0.508843064007346,0.715982794135321
"adaptive_n_back.EZ_non_decision","150","1000",0.487297399707991,0.324425400243351,0.821639842153017,0.605918573315833,0.508317585972081,0.703380816726717,0.605918573315833,0.508317585972081,0.703380816726717,0.605918573315833,0.508317585972081,0.703380816726717
"adaptive_n_back.EZ_non_decision","20","1000",0.755684404902063,-0.529785051902714,0.917902407675105,0.600996977738464,0.220519957983194,0.864742370632463,0.600996977738464,0.220519957983194,0.864742370632463,0.600996977738464,0.220519957983194,0.864742370632463
"adaptive_n_back.EZ_non_decision","30","1000",0.749473511080577,-0.320981167113943,0.902350287246007,0.613599216875079,0.293652173913044,0.832198625046451,0.613599216875079,0.293652173913044,0.832198625046451,0.613599216875079,0.293652173913044,0.832198625046451
"adaptive_n_back.EZ_non_decision","40","1000",0.724853598285873,-0.181071171097203,0.890639936763602,0.605930263955112,0.35934802330023,0.799515374331551,0.605930263955112,0.35934802330023,0.799515374331551,0.605930263955112,0.35934802330023,0.799515374331551
"adaptive_n_back.EZ_non_decision","50","1000",0.718696533463826,-0.0828495465335643,0.875020579915584,0.59682764767847,0.395557900692614,0.774909608398055,0.59682764767847,0.395557900692614,0.774909608398055,0.59682764767847,0.395557900692614,0.774909608398055
"adaptive_n_back.EZ_non_decision","60","1000",0.719707374846788,0.0186809796865727,0.870611911541694,0.609941353044456,0.424932876063266,0.770894746566526,0.609941353044456,0.424932876063266,0.770894746566526,0.609941353044456,0.424932876063266,0.770894746566526
"adaptive_n_back.EZ_non_decision","70","1000",0.716347039550324,0.0890123798647423,0.862997239911744,0.608365947777713,0.45548745113562,0.761892338605134,0.608365947777713,0.45548745113562,0.761892338605134,0.608365947777713,0.45548745113562,0.761892338605134
"adaptive_n_back.EZ_non_decision","80","1000",0.690803818603328,0.11214327749223,0.84857978907893,0.602220444376312,0.446546085339804,0.739494833460999,0.602220444376312,0.446546085339804,0.739494833460999,0.602220444376312,0.446546085339804,0.739494833460999
"adaptive_n_back.EZ_non_decision","90","1000",0.687616506524644,0.143700173725996,0.846382297123767,0.602291783010533,0.466397143243061,0.724875615090213,0.602291783010533,0.466397143243061,0.724875615090213,0.602291783010533,0.466397143243061,0.724875615090213
"adaptive_n_back.EZ_thresh","10","1000",0.750640334375559,-0.102877834032379,0.937530797449974,0.583333333333333,-0.0717261904761904,0.927272727272727,0.583333333333333,-0.0717261904761904,0.927272727272727,0.583333333333333,-0.0717261904761904,0.927272727272727
"adaptive_n_back.EZ_thresh","100","1000",0.658428081432122,0.502007453149165,0.817027766125153,0.578900801073188,0.446552131479814,0.691694819483999,0.578900801073188,0.446552131479814,0.691694819483999,0.578900801073188,0.446552131479814,0.691694819483999
"adaptive_n_back.EZ_thresh","110","1000",0.643575439823433,0.524216476595194,0.818553393160173,0.573677195580584,0.455867666794127,0.681227571666011,0.573677195580584,0.455867666794127,0.681227571666011,0.573677195580584,0.455867666794127,0.681227571666011
"adaptive_n_back.EZ_thresh","120","1000",0.642482737355569,0.517169482957428,0.808275081878981,0.576985911650656,0.460356361627804,0.680558257531942,0.576985911650656,0.460356361627804,0.680558257531942,0.576985911650656,0.460356361627804,0.680558257531942
"adaptive_n_back.EZ_thresh","130","1000",0.643096626769081,0.535729548702715,0.806471431945211,0.578320459438189,0.467754378859977,0.664900547797073,0.578320459438189,0.467754378859977,0.664900547797073,0.578320459438189,0.467754378859977,0.664900547797073
"adaptive_n_back.EZ_thresh","140","1000",0.643318552294678,0.548412924971047,0.802371520947232,0.577187631304928,0.469676472286717,0.66937074037274,0.577187631304928,0.469676472286717,0.66937074037274,0.577187631304928,0.469676472286717,0.66937074037274
"adaptive_n_back.EZ_thresh","150","1000",0.640664907458686,0.553660098095833,0.801517328541083,0.57191261321388,0.47679641618443,0.661498362157022,0.57191261321388,0.47679641618443,0.661498362157022,0.57191261321388,0.47679641618443,0.661498362157022
"adaptive_n_back.EZ_thresh","20","1000",0.738330858544692,0.31884974458438,0.903879980311916,0.581011351909185,0.179411764705882,0.838244324045407,0.581011351909185,0.179411764705882,0.838244324045407,0.581011351909185,0.179411764705882,0.838244324045407
"adaptive_n_back.EZ_thresh","30","1000",0.737935510258738,0.376215148736189,0.874751336140286,0.576452991452991,0.272832112332112,0.776522615066093,0.576452991452991,0.272832112332112,0.776522615066093,0.576452991452991,0.272832112332112,0.776522615066093
"adaptive_n_back.EZ_thresh","40","1000",0.729703510650467,0.392471896534305,0.864324301158601,0.57240275142315,0.311493144279656,0.753517102335929,0.57240275142315,0.311493144279656,0.753517102335929,0.57240275142315,0.311493144279656,0.753517102335929
"adaptive_n_back.EZ_thresh","50","1000",0.723327529388874,0.414201902378289,0.857311554885988,0.575783916206193,0.357875234521576,0.744468438538206,0.575783916206193,0.357875234521576,0.744468438538206,0.575783916206193,0.357875234521576,0.744468438538206
"adaptive_n_back.EZ_thresh","60","1000",0.717163172513024,0.443679447678227,0.838650819890414,0.569218316373728,0.382984005485951,0.723419116060801,0.569218316373728,0.382984005485951,0.723419116060801,0.569218316373728,0.382984005485951,0.723419116060801
"adaptive_n_back.EZ_thresh","70","1000",0.714419202309329,0.475610330261511,0.838338152927785,0.577225460224112,0.401383472085232,0.714231105988598,0.577225460224112,0.401383472085232,0.714231105988598,0.577225460224112,0.401383472085232,0.714231105988598
"adaptive_n_back.EZ_thresh","80","1000",0.707097566125734,0.474520603338516,0.830205987965613,0.575049944571449,0.410702688555438,0.7084505829155,0.575049944571449,0.410702688555438,0.7084505829155,0.575049944571449,0.410702688555438,0.7084505829155
"adaptive_n_back.EZ_thresh","90","1000",0.694565076010567,0.500480786819224,0.823862189878691,0.574713122898607,0.425089918730625,0.692459481162424,0.574713122898607,0.425089918730625,0.692459481162424,0.574713122898607,0.425089918730625,0.692459481162424
"adaptive_n_back.hddm_drift","10","1000",0.773973889840184,-0.0237246118509958,0.949958679976246,0.624242424242424,-0.0239718614718615,0.916666666666667,0.624242424242424,-0.0239718614718615,0.916666666666667,0.624242424242424,-0.0239718614718615,0.916666666666667
"adaptive_n_back.hddm_drift","100","1000",0.756161271685489,0.65143898850548,0.836188191558915,0.629369970171227,0.507921745199764,0.746235526804383,0.629369970171227,0.507921745199764,0.746235526804383,0.629369970171227,0.507921745199764,0.746235526804383
"adaptive_n_back.hddm_drift","110","1000",0.753931492095461,0.66504692631509,0.830131364704237,0.628940582864522,0.512071732691595,0.739397409455525,0.628940582864522,0.512071732691595,0.739397409455525,0.628940582864522,0.512071732691595,0.739397409455525
