"","dv","task","prop_above_ci","prop_below_ci","prop_one_direction","valence"
"44","dot_pattern_expectancy.BX_rt","task",0.0839160839160839,0.027972027972028,0.055944055944056,NA
"45","threebytwo.EZ_drift","task",0.0763888888888889,0.0208333333333333,0.0555555555555556,Pos
"46","dot_pattern_expectancy.hddm_thresh","task",0.0684931506849315,0.0136986301369863,0.0547945205479452,Pos
"47","shift_task.model_decay","task",0.0272108843537415,0.0816326530612245,-0.054421768707483,Neg
"48","information_sampling_task.Decreasing_Win_boxes_opened","task",0.0810810810810811,0.027027027027027,0.0540540540540541,NA
"49","adaptive_n_back.mean_load","task",0.0878378378378378,0.0337837837837838,0.0540540540540541,Pos
"50","choice_reaction_time.hddm_drift","task",0.0743243243243243,0.0202702702702703,0.0540540540540541,Pos
"51","bickel_titrator.auc_small","task",0.0671140939597315,0.0134228187919463,0.0536912751677852,NA
"52","bis_bas_survey.BAS_fun_seeking","survey",0.0333333333333333,0.0866666666666667,-0.0533333333333333,NA
"53","dospert_rt_survey.financial","survey",0.0933333333333333,0.04,0.0533333333333333,Post
"54","go_nogo.acc","task",0,0.0533333333333333,-0.0533333333333333,Pos
"55","kirby.hyp_discount_rate","task",0.0866666666666667,0.0333333333333333,0.0533333333333333,Neg
"56","kirby.hyp_discount_rate_small","task",0.1,0.0466666666666667,0.0533333333333333,Neg
"57","attention_network_task.incongruent_rt","task",0.04,0.0933333333333333,-0.0533333333333333,Neg
"58","motor_selective_stop_signal.ignore_rt_error_std","task",0.0533333333333333,0,0.0533333333333333,NA
"59","stroop.incongruent_errors","task",0.1,0.0466666666666667,0.0533333333333333,Neg
"60","motor_selective_stop_signal.SSRT","task",0.0666666666666667,0.0133333333333333,0.0533333333333333,Neg
"61","stop_signal.EZ_non_decision","task",0.075187969924812,0.0225563909774436,0.0526315789473684,NA
"62","stop_signal.SSRT_high","task",0.0676691729323308,0.0150375939849624,0.0526315789473684,Neg
"63","stop_signal.SSRT_low","task",0.0827067669172932,0.0300751879699248,0.0526315789473684,Neg
"64","stop_signal.go_rt","task",0.0827067669172932,0.0300751879699248,0.0526315789473684,Neg
"65","stim_selective_stop_signal.EZ_drift","task",0.0689655172413793,0.0172413793103448,0.0517241379310345,Pos
"66","dot_pattern_expectancy.AY.BY_EZ_drift","task",0.0144927536231884,0.0652173913043478,-0.0507246376811594,Pos
